STIS,SampleEventFK,StationCode,DFS,Month,Area
7170,Nott18_June,Nott18,Midshore,June,GB
7171,Nott18_June,Nott18,Midshore,June,GB
7172,Nott46_June,Nott46,Midshore,June,GB
7174,Nott46_June,Nott46,Midshore,June,GB
7175,Nott46_June,Nott46,Midshore,June,GB
7176,Nott82_June,Nott82,Offshore,June,GB
7178,Nott82_June,Nott82,Offshore,June,GB
7179,Nott82_June,Nott82,Offshore,June,GB
7180,Saug18_June,Saug18,Midshore,June,NMB
7181,Saug18_June,Saug18,Midshore,June,NMB
7182,Saug18_June,Saug18,Midshore,June,NMB
7183,Saug18_June,Saug18,Midshore,June,NMB
7184,Saug46_June,Saug46,Midshore,June,NMB
7185,Saug46_June,Saug46,Midshore,June,NMB
7186,Saug46_June,Saug46,Midshore,June,NMB
7188,Saug82_June,Saug82,Offshore,June,NMB
7189,Saug82_June,Saug82,Offshore,June,NMB
7190,Saug82_June,Saug82,Offshore,June,NMB
7192,Mait18_June,Mait18,Midshore,June,SMB
7193,Mait18_June,Mait18,Midshore,June,SMB
7194,Mait18_June,Mait18,Midshore,June,SMB
7195,Mait18_June,Mait18,Midshore,June,SMB
7196,Mait46_June,Mait46,Midshore,June,SMB
7198,Mait46_June,Mait46,Midshore,June,SMB
7199,Mait46_June,Mait46,Midshore,June,SMB
7200,Mait73_June,Mait73,Offshore,June,SMB
7202,Mait73_June,Mait73,Offshore,June,SMB
7203,Mait73_June,Mait73,Offshore,June,SMB
7204,Harb18_June,Harb18,Midshore,June,SMB
7205,Harb18_June,Harb18,Midshore,June,SMB
7206,Harb18_June,Harb18,Midshore,June,SMB
7207,Harb18_June,Harb18,Midshore,June,SMB
7208,Harb46_June,Harb46,Midshore,June,SMB
7210,Harb46_June,Harb46,Midshore,June,SMB
7211,Harb46_June,Harb46,Midshore,June,SMB
7212,Harb68_June,Harb68,Offshore,June,SMB
7214,Harb68_June,Harb68,Offshore,June,SMB
7215,Harb68_June,Harb68,Offshore,June,SMB
7290,Thes18_July,Thes18,Midshore,July,NC
7291,Thes18_July,Thes18,Midshore,July,NC
7292,Thes18_July,Thes18,Midshore,July,NC
7294,Thes46_July,Thes46,Midshore,July,NC
7295,Thes46_July,Thes46,Midshore,July,NC
7296,Thes46_July,Thes46,Midshore,July,NC
7298,Span18_July,Span18,Midshore,July,NC
7299,Span18_July,Span18,Midshore,July,NC
7300,Span18_July,Span18,Midshore,July,NC
7302,Span46_July,Span46,Midshore,July,NC
7303,Span46_July,Span46,Midshore,July,NC
7304,Span46_July,Span46,Midshore,July,NC
7306,Fren18_July,Fren18,Midshore,July,GB
7307,Fren18_July,Fren18,Midshore,July,GB
7308,Fren18_July,Fren18,Midshore,July,GB
7310,Fren46_July,Fren46,Midshore,July,GB
7311,Fren46_July,Fren46,Midshore,July,GB
7312,Fren46_July,Fren46,Midshore,July,GB
7314,Fren82_July,Fren82,Offshore,July,GB
7315,Fren82_July,Fren82,Offshore,July,GB
7316,Fren82_July,Fren82,Offshore,July,GB
7318,Parr18_July,Parr18,Midshore,July,GB
7319,Parr18_July,Parr18,Midshore,July,GB
7320,Parr18_July,Parr18,Midshore,July,GB
7322,Parr46_July,Parr46,Midshore,July,GB
7324,Parr46_July,Parr46,Midshore,July,GB
7325,Parr46_July,Parr46,Midshore,July,GB
7326,Parr82_July,Parr82,Offshore,July,GB
7328,Parr82_July,Parr82,Offshore,July,GB
7329,Parr82_July,Parr82,Offshore,July,GB
7330,Nott18_July,Nott18,Midshore,July,GB
7331,Nott18_July,Nott18,Midshore,July,GB
7332,Nott18_July,Nott18,Midshore,July,GB
7334,Nott46_July,Nott46,Midshore,July,GB
7336,Nott46_July,Nott46,Midshore,July,GB
7337,Nott46_July,Nott46,Midshore,July,GB
7338,Nott82_July,Nott82,Offshore,July,GB
7340,Nott82_July,Nott82,Offshore,July,GB
7341,Nott82_July,Nott82,Offshore,July,GB
7342,Saug18_July,Saug18,Midshore,July,NMB
7343,Saug18_July,Saug18,Midshore,July,NMB
7344,Saug18_July,Saug18,Midshore,July,NMB
7346,Saug46_July,Saug46,Midshore,July,NMB
7348,Saug46_July,Saug46,Midshore,July,NMB
7349,Saug46_July,Saug46,Midshore,July,NMB
7350,Saug82_July,Saug82,Offshore,July,NMB
7352,Saug82_July,Saug82,Offshore,July,NMB
7353,Saug82_July,Saug82,Offshore,July,NMB
7354,Mait18_July,Mait18,Midshore,July,SMB
7355,Mait18_July,Mait18,Midshore,July,SMB
7356,Mait18_July,Mait18,Midshore,July,SMB
7358,Mait46_July,Mait46,Midshore,July,SMB
