STIS,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC
7037,14.81,259.6,2.29,369,4.2,0.92,4.37,22.5,6.77,7.16,14.34,0.247,1.91
7038,38.31,259.5,3.2,368,1.56,0.91,4.4,23.16,6.72,7.17,14.37,0.252,1.89
7040,14.61,273.1,2.8,249,4.37,0.92,4.41,22.9,6.78,7.31,14.27,0.24,2.02
7041,14.72,284.5,3.24,353,1.31,0.94,4.43,22.27,6.88,7.29,14.18,0.274,2
7042,9.68,271.2,2.03,359,2.71,0.9,4.49,23.87,6.84,7.34,14.29,0.273,1.84
7044,15.46,281.1,2.29,473,2.32,0.91,4.56,23.22,6.8,7.35,14.24,0.331,1.86
7045,11.53,267.9,2.83,395,0.61,0.91,4.47,23.52,6.74,7.27,14.15,0.353,1.76
7046,14.19,274.2,2.1,371,3.13,0.89,4.49,23.66,6.82,7.28,14.13,0.278,1.9
7048,11.02,258,2.4,382,4.67,0.88,4.42,23.87,6.69,7.18,14.15,0.365,1.73
7049,17.4,259.9,2.76,364,2.21,0.87,4.47,23.73,6.72,7.19,14.7,0.334,1.8
7050,12.09,269.5,2.68,344,3.15,0.93,4.48,24.85,6.83,7.25,14.34,0.269,1.88
7060,5.55,344.7,2.36,442,1.8,1,4.49,26.2,7.67,7.31,16.15,0.594,1.42
7061,5.43,340.7,2.52,455,2.42,1.03,4.48,26.08,7.76,7.3,15.95,0.476,1.36
7062,7.8,341.9,2.17,434,0.61,1.01,4.48,25.94,7.84,7.32,16.02,0.395,1.42
7064,5.35,299.1,2.35,217,0.61,1.01,4.4,26.57,7.71,7.2,15.9,0.245,1.57
7065,7.2,301.6,2.67,373,7.09,1.08,4.48,26.52,7.66,7.27,16.07,0.273,1.54
7066,5.25,300.1,2.05,333,0.61,1.03,4.46,26.89,7.87,7.19,15.9,0.27,1.52
7068,8.21,302.2,1.97,400,0.61,1.03,4.49,26.89,7.57,7.21,15.98,0.388,1.58
7069,7.67,304.6,1.9,358,1.58,1.02,4.51,25.4,7.76,7.2,15.94,0.425,1.58
7070,5.4,305.8,2.41,389,0.61,1.02,4.53,26.82,7.53,7.2,15.92,0.347,1.52
7072,10.16,440.8,2.75,564,4.88,1,4.43,28.53,9.2,7.42,15.8,0.562,2.02
7073,12.99,425,2.7,515,1.95,0.98,4.5,29.08,8.81,7.39,15.96,0.391,1.86
7074,11.64,405,2.37,575,2.34,0.99,4.45,29.86,8.67,7.43,16.09,0.416,1.99
7076,12.17,322.7,2.79,419,0.61,0.96,4.35,26.22,7.64,7.17,16.05,0.267,1.66
7077,6.98,313.7,2.64,464,2.01,0.95,4.39,25.85,7.62,7.24,15.94,0.336,1.7
7078,7.03,305.9,2.39,429,2.13,0.94,4.37,25.67,7.12,7.24,15.96,0.318,1.62
7080,8.18,383.8,2.04,565,2.82,1.03,5.05,27.81,8.13,8.56,16.47,0.946,1.84
7081,9.29,378.8,2.17,564,4.69,1.04,4.99,27.58,8.13,8.22,16.39,1.228,1.98
7082,8.13,404.2,2.4,583,2.34,1.09,5.09,28.23,8.22,8.57,16.6,0.81,1.95
7084,9.81,307.1,3.11,422,1.39,0.96,4.42,27.01,7.54,7.34,15.88,0.323,1.64
7085,9.99,303.6,2.69,438,2.25,0.95,4.45,24.71,7.64,7.11,15.81,0.32,1.6
7086,7.09,303.3,2.32,455,2.18,0.97,4.41,26.35,7.55,7.12,15.84,0.333,1.66
7088,6.24,313.6,2.3,440,4.16,0.97,4.39,26.57,7.32,7.07,15.77,0.394,1.55
7089,10.4,320.7,3.88,445,8.57,0.96,4.34,26.21,7.49,7.07,15.85,0.426,1.62
7090,10.32,317.8,3.17,451,2.03,0.97,4.38,26.4,7.54,7.09,15.77,0.439,1.63
7092,15.89,286.2,3.54,426,2.83,1.03,4.96,26.42,8.56,8.04,16.5,0.141,1.86
7093,9.02,280.1,3.26,425,2.52,1.05,4.94,27.06,8.34,8.05,16.58,0.134,1.88
7094,10.96,283.1,1.26,255,1.27,1.04,4.83,28.08,8.4,8.02,16.53,0.127,1.8
7096,4.76,306,3.07,438,0.61,0.94,4.44,26.4,7.53,6.94,15.5,0.385,1.5
7097,4.96,280,5.58,419,0.61,0.95,4.37,25.62,7.65,6.99,15.6,0.358,1.53
7098,5.86,304.9,3.2,417,0.61,0.95,4.39,25.75,7.72,6.96,15.58,0.411,1.49
7100,5.27,308.5,3.19,427,0.61,0.91,4.26,25.75,7.4,6.87,15.44,0.511,1.5
7101,11.1,310,3.14,434,0.61,0.97,4.27,26.04,7.27,6.87,15.47,0.47,1.61
7102,8.23,310,2.68,426,0.61,0.95,4.28,25.14,7.71,6.86,15.55,0.407,1.51
7112,6.43,311.3,2.77,429,0.61,0.93,4.37,25.42,7.63,7.01,15.94,0.545,1.54
7113,12.42,309.2,1.63,449,2.75,0.92,4.29,25.25,7.58,7.03,15.96,0.589,1.5
7114,11.77,313.6,2.82,438,0.61,0.91,4.31,25.18,7.66,7.03,15.95,0.563,1.46
7116,24.69,244.1,4.24,430,2.58,0.75,3.77,18.93,5.38,5.47,13.17,1.7205,2.83
7117,10.74,239.1,3.45,442,0.61,0.75,3.73,19.05,5.32,5.37,13.03,1.3736,2.76
7118,10.04,236.9,3.68,427,2.46,0.74,3.74,18.42,5.31,5.29,12.8,1.6137,2.67
7120,12.06,231,4.98,419,0.61,0.73,3.73,18.43,5.23,5.23,12.68,1.7241,2.48
7121,14.5,273.4,3.34,420,2.1,0.83,3.67,19.93,5.75,5.32,12.55,1.3994,2.16
7122,16.9,284.5,3.1,414,0.61,0.84,3.65,20.38,5.86,5.44,12.78,0.6164,2.38
7124,2.48,227.4,2.99,366,0.61,0.87,3.9,20.4,5.91,5.71,13.66,1.3906,2.29
7125,7.81,193.1,3.17,362,2.72,0.87,4.02,19.45,5.74,5.66,13.71,2.0493,2.6
7126,8.27,199.2,3.12,382,9.72,0.85,3.91,20,5.65,5.66,13.65,1.254,2.42
7128,4.84,250.3,2.51,396,3.09,0.95,3.88,20.54,6.13,5.72,13.57,1.1582,2.47
7130,10.95,271.7,3.4,381,2.32,0.91,3.94,21.01,6.25,5.72,13.54,0.5256,2.34
7131,5.34,254.9,2.9,398,3.31,0.85,4.02,20.45,6.05,5.78,13.78,2.0191,2.37
7132,14.64,271.7,3.15,396,0.61,0.99,4.31,25.43,7.45,6.69,14.3,0.5469,2.31
7133,14.86,258,1.55,432,2.04,1.04,4.56,25.38,7.77,7.53,15.32,0.8773,2.62
7134,10.43,264.3,1.38,404,1.78,0.92,4.3,25.1,7.17,6.65,14.28,0.9599,2.57
7136,6.11,284.3,1.21,415,0.61,0.88,4.1,24.53,7.12,6.23,13.91,0.7358,1.95
7137,8.16,291.7,1.12,440,4.42,0.92,4.12,24.79,7.02,6.41,14.2,1.2662,2.15
7138,20.98,314.6,4.17,459,7.74,0.95,4.24,25.34,7.52,6.64,14.92,0.8981,2.05
7140,7.2,293.2,1.42,467,7.31,0.92,4.06,24.64,7.12,6.15,13.84,0.7444,1.76
7142,7.82,312.3,2.89,415,0.61,0.95,4.35,25.79,7.57,6.8,15.4,0.3339,1.63
7143,19.38,314.4,3.25,417,7.91,0.98,4.39,24.54,7.78,6.79,15.4,0.5519,1.66
7144,8.9,226,1.43,366,1.6,0.86,4.17,21.85,6.27,6.35,13.2,0.8221,2.33
7145,10.73,230.3,3.1,361,0.61,0.88,4.11,21.69,6.38,6.04,12.62,1.0536,2.53
7146,7.47,226.5,1.43,377,2.65,0.86,4.15,22.22,6.43,6.37,13.18,0.8234,3.43
7148,5.42,235.9,1.19,352,3.11,0.86,4.19,22.45,6.32,6.61,13.91,0.4975,2.06
7149,6.3,244.2,1.36,362,3.85,0.87,4.2,22.97,6.63,6.73,14.21,0.568,1.85
7150,9.6,248.7,0.553,359,0.61,0.86,4.25,23.78,6.82,6.74,14.33,0.4262,1.83
7152,10.25,254.6,1.49,364,0.61,0.87,4.27,23.87,6.84,6.74,14.23,0.3005,1.77
7154,9.53,256.6,0.553,371,1.89,0.87,4.26,23.69,6.77,6.76,14.32,0.6059,1.77
7155,6.6,157.4,1.98,384,2.57,0.88,4.24,22.98,6.62,6.7,14.33,0.9473,3.06
7156,16.15,212.3,1.91,372,3.84,0.88,4.7,20.59,5.92,7.44,12.9,0.6519,2.4
