SiteID,Site,UnifiedDate,Year,MonthPeriod,CruiseSeason,DFS,Month,Area,MeterEnd,MeterMCoe,Volume
58,Saginaw Bay 9,7/15/2022,2022,L July,Summer,Nearshore,July,SB,320,8.898884237,1.747290358
59,Saginaw Bay 13,7/15/2022,2022,L July,Summer,Nearshore,July,SB,300,8.342703972,1.638084711
60,Harbor Beach 18,7/17/2022,2022,L July,Summer,Nearshore,July,SMB,330,9.176974369,1.801893182
61,Harbor Beach 46,7/17/2022,2022,L July,Summer,Midshore,July,SMB,910,25.30620205,4.968856956
62,Harbor Beach 63,7/17/2022,2022,L July,Summer,Offshore,July,SMB,1138,30.47010932,5.982786921
63,Boot Island 18,7/22/2022,2022,L July,Summer,Nearshore,July,NMB,430,11.95787569,2.347921419
64,Boot Island 46,7/22/2022,2022,L July,Summer,Midshore,July,NMB,1160,32.25845536,6.333927548
65,Boot Island 73,7/22/2022,2022,L July,Summer,Offshore,July,NMB,810,22.52530072,4.422828719
66,Thessalon River 18,7/20/2022,2022,L July,Summer,Nearshore,July,NC,650,18.07585861,3.54918354
67,Thessalon River 46,7/20/2022,2022,L July,Summer,Midshore,July,NC,1290,35.87362708,7.043764256
68,Thessalon River 46 Offshore,7/20/2022,2022,L July,Summer,Offshore,July,NC,1200,33.37081589,6.552338843
69,Spanish River 5,8/13/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,50,7.8095,1.533390444
70,Spanish River 18,8/13/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,80,12.4952,2.453424711
71,Spanish River 46,8/13/2022,2022,Aug,Late Summer,Midshore,Aug,NC,280,43.7332,8.586986487
72,French River 5,8/12/2022,2022,Aug,Late Summer,Nearshore,Aug,GB,70,10.9333,2.146746622
73,French River 18,8/12/2022,2022,Aug,Late Summer,Nearshore,Aug,GB,50,7.8095,1.533390444
74,French River 46,8/12/2022,2022,Aug,Late Summer,Midshore,Aug,GB,140,21.8666,4.293493243
75,French River 82,8/12/2022,2022,Aug,Late Summer,Offshore,Aug,GB,160,24.9904,4.906849421
76,Parry Sound 46,8/9/2022,2022,Aug,Late Summer,Midshore,Aug,GB,130,20.3047,3.986815155
77,Nottawasaga River 18,8/7/2022,2022,Aug,Late Summer,Nearshore,Aug,GB,110,17.1809,3.373458977
78,Nottawasaga River 46,8/7/2022,2022,Aug,Late Summer,Midshore,Aug,GB,100,15.619,3.066780888
79,Nottawasaga River 82,8/7/2022,2022,Aug,Late Summer,Offshore,Aug,GB,140,21.8666,4.293493243
80,Saginaw Bay 9,8/2/2022,2022,Aug,Late Summer,Nearshore,Aug,SB,120,18.7428,3.680137066
81,Saginaw Bay 13,8/2/2022,2022,Aug,Late Summer,Nearshore,Aug,SB,62,9.68378,1.901404151
82,Harbor Beach 5,8/4/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,30,4.6857,0.920034266
83,Harbor Beach 18,8/4/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,10,1.5619,0.306678089
84,Harbor Beach 46,8/4/2022,2022,Aug,Late Summer,Midshore,Aug,SMB,110,17.1809,3.373458977
85,Harbor Beach 63,8/4/2022,2022,Aug,Late Summer,Offshore,Aug,SMB,92,14.36948,2.821438417
86,Maitland River 5,8/6/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,50,7.8095,1.533390444
87,Maitland River 18,8/5/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,70,10.9333,2.146746622
88,Maitland River 46,8/5/2022,2022,Aug,Late Summer,Midshore,Aug,SMB,160,24.9904,4.906849421
89,Maitland River 73,8/5/2022,2022,Aug,Late Summer,Offshore,Aug,SMB,450,70.2855,13.800514
90,Saugeen River 18,8/6/2022,2022,Aug,Late Summer,Nearshore,Aug,NMB,70,10.9333,2.146746622
91,Saugeen River 46,8/6/2022,2022,Aug,Late Summer,Midshore,Aug,NMB,160,24.9904,4.906849421
92,Saugeen River 82,8/6/2022,2022,Aug,Late Summer,Offshore,Aug,NMB,120,18.7428,3.680137066
93,Boot Island 18,8/14/2022,2022,Aug,Late Summer,Nearshore,Aug,NMB,60,9.3714,1.840068533
94,Boot Island 46,8/14/2022,2022,Aug,Late Summer,Midshore,Aug,NMB,110,17.1809,3.373458977
95,Boot Island 73,8/14/2022,2022,Aug,Late Summer,Offshore,Aug,NMB,80,12.4952,2.453424711
96,Thessalon River 5,8/14/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,50,7.8095,1.533390444
97,Thessalon River 18,8/14/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,60,9.3714,1.840068533
98,Thessalon River 46,8/14/2022,2022,Aug,Late Summer,Midshore,Aug,NC,140,21.8666,4.293493243
99,Thessalon River 46 Offshore,8/14/2022,2022,Aug,Late Summer,Offshore,Aug,NC,100,15.619,3.066780888
100,Saugeen River 5,8/7/2022,2022,Aug,Late Summer,Nearshore,Aug,NMB,50,7.8095,1.533390444
