SiteID, Epischuralacustris, Eurytemoracarolleea, Leptodiaptomusashlandi, Leptodiaptomusminutus, Leptodiaptomussicilis, Limnocalanusmacrurus, Senecellacalanoides, Skistodiaptomusoregonensis, Diacyclopsnanus, Diacyclopsthomasi, Mesocyclopsedax, Microcyclopsvaricans, Tropocyclopsprasinusmexicanus, Alonaspp, Alonella, Bosminalongirostris, Bosminaspp, Bythotrepheslongimanus, Cercopagispengoi, Ceriodaphniaspp, Chydorussp, Daphniagaleatamendotae, Daphnialongiremis, Daphniaparvula, Daphniaretrocurva, Daphniaspp, Diaphanosomaspp, Eubosminacoregoni, Eurycercuslamellatus, Holopediumgibberum, Leptodorakindti, Polyphemuspediculus, Harpacticoidcopepodites, Calanoidcopepodites, Epischuracopepodites, Limnocalanuscopepodites, Senecellacopepodites, Cyclopscopepodites, Mysisdiluviana
 Ztx153-22558 ,74,0,74,184,0,0,0,24,0,86,25,0,37,12,0,539,0,14,0,0,0,0,0,0,0,0,0,0,0,662,12,0,0,2499,845,0,0,980,0
 Ztx153-22114 ,0,0,1189,1763,1435,0,0,82,0,4879,0,0,0,0,0,164,0,1,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,9266,0,1230,205,697,0
 Ztx153-22570 ,81,0,2106,3726,162,1296,0,0,0,162,162,0,0,0,0,1458,0,42,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,20493,324,405,567,9801,0
 Ztx153-22162 ,7,0,718,544,153,58,0,51,0,305,7,0,0,0,0,370,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,1660,22,80,22,261,0
 Ztx153-22318 ,405,0,729,602,189,0,0,81,0,297,135,0,27,0,0,594,0,26,0,0,27,459,0,0,0,0,0,0,0,27,0,0,0,9747,1080,0,0,1215,0
 Ztx153-22334 ,526,0,15,204,15,0,0,0,0,0,58,0,15,0,0,117,0,21,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,2657,2643,0,0,248,0
 Ztx153-22358 ,0,1320,176,1760,0,0,0,44,0,0,396,0,0,0,0,44,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17600,1848,0,0,3432,0
 Ztx153-22622 ,90,0,3195,765,0,0,0,0,0,450,0,0,0,0,0,405,0,6,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,21060,405,0,0,1170,0
 Ztx153-22338 ,1064,0,840,3976,336,168,0,224,0,1176,1064,0,0,0,0,336,56,47,0,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,27608,1456,168,56,4144,0
 Ztx153-22362 ,968,0,792,4576,528,440,0,264,0,616,176,0,0,0,0,440,0,42,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,26488,1232,264,0,3344,0
 Ztx153-22158 ,1,0,67,87,13,6,0,2,0,7,1,0,0,3,0,166,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,234,4,3,0,59,0
 Ztx153-22618 ,18,0,25,98,2,0,0,0,0,15,9,0,0,2,0,106,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,523,11,4,0,106,0
 Ztx153-22342 ,964,0,3375,4459,1326,121,0,0,0,1326,2652,0,0,0,0,241,0,21,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,58322,2651,1446,0,4820,0
 Ztx153-22366 ,2552,0,8222,5670,1702,567,0,567,0,5954,567,0,0,0,0,1134,0,38,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,97524,567,2835,284,12758,0
 Ztx153-22166 ,0,0,6683,1681,1681,0,0,0,0,3239,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7011,0,410,0,2747,0
 Ztx153-22322 ,0,0,4307,1314,1387,0,0,0,0,2044,584,0,0,0,0,292,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34018,1241,292,146,1679,0
 Ztx153-22626 ,134,0,1943,2010,134,335,0,0,0,871,201,0,134,0,0,737,101,13,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,22445,3149,268,67,3752,0
 Ztx153-22170 ,0,0,2182,2365,1082,92,0,128,0,2145,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,37,37,862,0
 Ztx153-22326 ,0,0,2889,5511,1980,54,0,161,0,3317,54,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9309,0,482,54,1498,0
 Ztx153-22630 ,860,0,7955,14190,860,645,0,0,0,1720,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49020,430,860,215,14190,0
 Ztx153-22178 ,0,0,1179,5131,1458,47,0,62,0,2279,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,16,0,248,0
 Ztx153-22638 ,265,0,58,1691,0,0,0,12,0,23,92,0,0,0,0,138,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611,1001,0,0,541,0
 Ztx153-22182 ,0,0,4740,3720,1470,60,0,120,0,2820,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,0,0,30,390,1
 Ztx153-22642 ,459,0,6756,6527,115,1031,0,115,0,2176,0,0,0,0,0,573,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30915,458,229,0,13969,0
 Ztx153-22174 ,0,0,1,7,0,0,0,1,0,4,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,9,0
 Ztx153-22634 ,277,119,0,1106,0,0,0,40,0,0,0,0,0,0,0,10784,0,5,2,0,0,0,0,0,0,0,0,0,0,0,158,0,0,6241,395,0,0,40,0
