Species,Genus
Leptodiaptomusminutus,Leptodiaptomus
Leptodiaptomussicilis,Leptodiaptomus
Daphniaspp,Daphnia
Daphniaparvula,Daphnia
Daphniaretrocurva,Daphnia
Leptodiaptomusashlandi,Leptodiaptomus
Daphnialongiremis,Daphnia
Leptodorakindti,Leptodora
Daphniagaleatamendotae,Daphnia
Diaphanosomaspp,Diaphanosoma
Bythotrepheslongimanus,Bythotrephes longimanus
