Site,Survey," Depth [fresh water, m]", Temperature [deg C],Fluorescence [mg/m^3],Oxygen [mg/l],Conductivity [uS/cm],Specific Conductance [uS/cm],Beam Attenuation [1/m], Beam Transmission [%],"SPAR, Biospherical","PAR/Irradiance, Biospherical",CPAR/Corrected Irradiance [%],Density [kg/m^3],"Time, Elapsed [seconds]","Pressure, Digiquartz [db]",Bottles Fired,Altimeter [m], Descent Rate [m/s],pH,Latitude [deg],Longitude [deg],Mean Size [μm] ,Total Volume Concentration [PPM] ,Derived Oxygen [mg/l],Nbin,Flag
Boot Island 18,CSMI I June 2023,1,11.8393,-0.0386,10.6221,84.98073,118.466,-0.0981,100.3656,1821.8,187.05,10.283,999.5446,186.307,0.98,0,64.48,0.102,8.776,45.95108,-84.26381,-64.0815,12.4876,10.83033,7,0
Boot Island 18,CSMI I June 2023,2,9.9454,-0.0871,12.101,118.803865,172.004,-1.6285,104.2182,1809.1,98.774,5.447,999.7639,404.637,1.961,0,30.67,0.035,8.399,45.95186,-84.26732,38.3868,49.0778,11.30949,201,0
Boot Island 18,CSMI I June 2023,3,9.2756,-0.1532,11.8691,131.069503,191.191,-2.1212,105.4462,2214.2,89.459,4.0389,999.8461,608.534,2.942,0,17.13,0.195,8.277,45.95212,-84.26902,-37.1219,17.9652,11.47767,5,0
Boot Island 18,CSMI I June 2023,4,8.8593,-0.1381,12.1055,129.998676,191.956,-2.2381,105.7548,2113.7,68.408,3.2372,999.883,611.152,3.922,0,16.11,0.195,8.269,45.95212,-84.26904,106.0452,91.6138,11.59229,5,0
Boot Island 18,CSMI I June 2023,5,8.5268,-0.0461,12.2055,129.110999,192.538,-2.3893,106.1554,2246,60.416,2.6912,999.9111,615.968,4.903,0,15.11,0.206,8.27,45.95211,-84.26904,95.8386,79.4806,11.68582,5,0
Boot Island 18,CSMI I June 2023,6,8.1247,0.0034,12.3069,127.784448,192.873,-2.489,106.4202,2284.6,55.023,2.4089,999.9423,620.605,5.884,0,14.09,0.213,8.268,45.9521,-84.26904,93.288,78.3082,11.80044,4,0
Boot Island 18,CSMI I June 2023,7,7.8425,0.0207,12.3923,126.702315,192.883,-2.5107,106.478,2301.3,48.727,2.117,999.9641,625.147,6.865,0,13.09,0.214,8.263,45.95211,-84.26905,91.1893,74.4528,11.88209,5,0
Boot Island 18,CSMI I June 2023,8,7.7173,0.036,12.4205,126.35294,193.087,-2.3689,106.1014,2229.9,41.538,1.8618,999.976,630.342,7.845,0,12.01,0.187,8.259,45.95211,-84.26909,89.3522,72.3899,11.91866,6,0
Boot Island 18,CSMI I June 2023,9,7.6672,0.0443,12.4398,126.245592,193.219,-2.2431,105.768,2221,36.002,1.6206,999.9837,635.736,8.826,0,11.03,0.179,8.258,45.9521,-84.26911,86.5602,68.2787,11.93335,5,0
Boot Island 18,CSMI I June 2023,10,7.2756,0.0638,12.504,125.468439,194.361,-2.3345,106.01,2123.1,29.433,1.3861,1000.0095,640.983,9.806,0,10.04,0.191,8.25,45.9521,-84.26913,86.3251,66.7139,12.04928,5,0
Boot Island 18,CSMI I June 2023,11,7.091,0.0553,12.5805,124.884893,194.569,-2.3487,106.0477,2224.3,26.853,1.2071,1000.0234,646.221,10.788,0,9.03,0.184,8.245,45.9521,-84.26915,84.5398,65.5524,12.10451,5,0
Boot Island 18,CSMI I June 2023,12,6.9689,0.0673,12.6293,124.593543,194.856,-2.433,106.2714,2106.3,22.854,1.0844,1000.034,653.085,11.768,0,7.95,0.121,8.242,45.9521,-84.26917,83.6926,63.021,12.1413,10,0
Boot Island 18,CSMI I June 2023,13,6.8843,0.0627,12.6517,124.535322,195.283,-2.4894,106.4212,2145,20.667,0.96358,1000.0428,663.825,12.749,0,6.92,0.089,8.231,45.9521,-84.26921,82.7436,63.2433,12.16692,11,0
Boot Island 18,CSMI I June 2023,14,6.8061,0.0531,12.6508,124.42818,195.594,-2.5458,106.5714,2057.4,17.788,0.86408,1000.0511,674.129,13.73,0,5.89,0.097,8.225,45.95209,-84.26924,80.4073,58.377,12.19067,9,0
Boot Island 18,CSMI I June 2023,15,6.7262,0.0585,12.6631,124.336841,195.944,-2.6142,106.7539,1914.7,14.083,0.73498,1000.0594,683.72,14.71,0,4.87,0.105,8.219,45.95208,-84.26928,79.6401,56.5709,12.21506,10,0
Boot Island 18,CSMI I June 2023,16,6.6404,0.0534,12.6862,124.280084,196.385,-2.6892,106.9542,1873.5,12.15,0.64823,1000.0679,692.791,15.691,0,3.82,0.11,8.215,45.95208,-84.26931,78.1907,54.768,12.24131,9,0
Boot Island 18,CSMI I June 2023,17,6.5084,0.1029,12.7406,124.077007,196.886,-2.7922,107.2299,1738,9.54,0.54891,1000.0781,708.593,16.671,0,2.72,0.026,8.207,45.95206,-84.26937,76.7474,53.2962,12.28191,21,0
Boot Island 46,CSMI I June 2023,1,10.0931,0.0044,11.2579,125.701549,179.098,9.5098,80.8257,1127.5,80.239,7.1168,999.7643,63.962,0.982,0,47.01,0.303,9.273,45.919,-84.2576,-99.0287,0.0103,11.25738,3,0
Boot Island 46,CSMI I June 2023,2,10.0154,0.0196,12.1509,129.015948,184.22,1.4665,97.1516,1128.9,42.747,3.7875,999.7777,66.054,1.956,0,46.04,0.443,8.491,45.91899,-84.25762,-98.7222,0.0105,11.27781,2,0
Boot Island 46,CSMI I June 2023,3,10.2737,0.1598,14.5292,130.909815,185.551,-2.2682,105.7864,1184,39.23,3.3201,999.7599,172.273,2.947,0,32.18,-0.454,8.273,45.91883,-84.25783,245.1128,116.2634,11.20929,88,0
Boot Island 46,CSMI I June 2023,4,10.1288,0.0222,11.8139,129.883569,184.855,-1.356,103.448,1250.7,29.769,2.3797,999.7773,277.999,3.923,0,44.15,0.187,8.291,45.9187,-84.25802,98.2589,85.1394,11.24774,6,0
Boot Island 46,CSMI I June 2023,5,10.0401,0.1219,11.8387,129.541034,184.834,-1.3043,103.3145,1255.2,25.635,2.0425,999.7898,281.745,4.904,0,43.1,0.19,8.294,45.9187,-84.25802,96.4609,84.1401,11.27123,5,0
Boot Island 46,CSMI I June 2023,6,9.893,0.2442,11.866,129.237511,185.179,-1.1368,102.8829,1256.1,20.822,1.6577,999.8075,286.88,5.884,0,42.06,0.19,8.299,45.9187,-84.25802,94.9082,83.2751,11.31042,5,0
Boot Island 46,CSMI I June 2023,7,9.7626,0.3494,11.8959,129.073442,185.637,-1.0247,102.5948,1258.6,17.342,1.3778,999.8236,291.74,6.865,0,41.02,0.207,8.3,45.9187,-84.25802,93.457,81.11,11.34531,4,0
Boot Island 46,CSMI I June 2023,8,9.6707,0.4438,11.9379,128.767967,185.689,-0.9083,102.2967,1260,15.161,1.2032,999.8361,296.248,7.845,0,40.03,0.22,8.3,45.9187,-84.25802,91.5963,80.165,11.37005,5,0
Boot Island 46,CSMI I June 2023,9,9.4341,0.5439,12.024,128.534435,186.626,-0.7339,101.8518,1262.1,12.836,1.017,999.8605,300.716,8.826,0,38.86,0.219,8.301,45.9187,-84.25802,92.8488,80.4699,11.4341,4,0
Boot Island 46,CSMI I June 2023,10,9.1814,0.6434,12.0974,128.0755,187.335,-0.7913,101.998,1262.7,10.682,0.84593,999.8854,305.108,9.807,0,37.95,0.228,8.297,45.9187,-84.25802,89.6702,76.8649,11.5033,5,0
Boot Island 46,CSMI I June 2023,11,8.8131,0.6806,12.195,127.493503,188.517,-0.8297,102.096,1264.2,9.0903,0.7191,999.9179,309.286,10.787,0,36.93,0.239,8.292,45.9187,-84.25804,87.5342,73.9639,11.60547,4,0
Boot Island 46,CSMI I June 2023,12,8.5315,0.7629,12.3228,126.568734,188.719,-0.9371,102.3706,1265.5,7.7964,0.61611,999.9425,313.792,11.768,0,35.88,0.206,8.287,45.9187,-84.25804,87.5402,71.9536,11.68456,5,0
Boot Island 46,CSMI I June 2023,13,8.4128,0.8963,12.368,126.384477,189.115,-0.9579,102.4235,1267.2,6.6659,0.52605,999.9554,318.834,12.749,0,34.83,0.191,8.284,45.9187,-84.25805,86.3182,69.7783,11.71817,5,0
Boot Island 46,CSMI I June 2023,14,8.3225,0.8363,12.3726,126.997718,190.547,-1.0057,102.5463,1268.6,5.65,0.44536,999.9666,323.91,13.73,0,33.8,0.196,8.276,45.9187,-84.25806,84.9332,67.5799,11.74383,5,0
Boot Island 46,CSMI I June 2023,15,8.2271,0.79,12.3754,126.908438,190.96,-1.3217,103.3598,1270,4.8191,0.37945,999.9777,328.851,14.71,0,32.76,0.2,8.271,45.91868,-84.25806,81.6864,65.4674,11.7711,5,0
Boot Island 46,CSMI I June 2023,16,8.0612,0.7886,12.4015,126.447627,191.222,-1.4616,103.7215,1272.1,4.1272,0.32443,999.993,333.618,15.691,0,31.71,0.208,8.264,45.91868,-84.25805,81.6249,61.472,11.81878,4,0
Boot Island 46,CSMI I June 2023,17,7.97,0.7915,12.4407,126.309098,191.541,-1.5704,104.0042,1273.7,3.5204,0.27639,1000.0033,338.211,16.671,0,30.67,0.217,8.262,45.91868,-84.25804,79.0805,59.9618,11.84514,5,0
Boot Island 46,CSMI I June 2023,18,7.7852,0.8172,12.4698,125.790276,191.829,-1.5954,104.069,1274.9,3.0141,0.23643,1000.019,342.723,17.653,0,29.62,0.214,8.26,45.91868,-84.25806,78.2715,58.5756,11.89891,5,0
Boot Island 46,CSMI I June 2023,19,7.464,0.8867,12.5647,124.866918,192.308,-1.6022,104.0868,1276.7,2.5654,0.20095,1000.0415,347.027,18.632,0,28.45,0.233,8.255,45.91868,-84.25807,76.2397,56.9357,11.99356,4,0
Boot Island 46,CSMI I June 2023,20,6.8779,1.0261,12.6799,123.447555,193.617,-1.5257,103.8881,1278.1,2.1645,0.16936,1000.0756,351.251,19.613,0,27.52,0.238,8.248,45.91868,-84.25808,77.5532,57.9269,12.16911,4,0
Boot Island 46,CSMI I June 2023,21,6.6026,1.174,12.7963,122.857759,194.37,-1.4437,103.6751,1279.9,1.8083,0.14129,1000.0925,355.376,20.594,0,26.52,0.239,8.24,45.91868,-84.25807,76.4724,56.7253,12.25302,4,0
Boot Island 46,CSMI I June 2023,22,6.4962,1.1352,12.8305,122.640746,194.682,-1.3971,103.5544,1281.7,1.5001,0.11705,1000.1017,359.386,21.575,0,25.47,0.243,8.235,45.91866,-84.25806,77.5615,58.221,12.28575,4,0
Boot Island 46,CSMI I June 2023,23,6.4631,1.121,12.8418,122.577442,194.786,-1.3473,103.4257,1283.4,1.2293,0.095795,1000.1078,363.284,22.555,0,24.45,0.251,8.231,45.91866,-84.25807,74.8226,53.9701,12.29594,4,0
Boot Island 46,CSMI I June 2023,24,6.4329,1.0677,12.8344,122.529253,194.897,-1.414,103.5983,1284.3,0.99433,0.077428,1000.1138,367.119,23.535,0,23.36,0.258,8.229,45.91867,-84.25808,74.9956,54.0089,12.3053,4,0
Boot Island 46,CSMI I June 2023,25,6.285,1.0533,12.856,122.256273,195.382,-1.4012,103.5651,1286.4,0.78543,0.061055,1000.1242,370.881,24.517,0,22.38,0.263,8.224,45.91867,-84.25809,74.3032,53.1075,12.35122,3,0
Boot Island 46,CSMI I June 2023,26,6.078,1.0554,12.8884,121.878784,196.076,-1.4655,103.7316,1287.4,0.6055,0.047033,1000.1364,374.583,25.498,0,21.36,0.265,8.22,45.91866,-84.25809,74.5484,52.8958,12.41597,4,0
Boot Island 46,CSMI I June 2023,27,5.9832,1.1447,12.9189,121.701938,196.391,-1.4904,103.7964,1289,0.45046,0.034949,1000.1444,378.234,26.478,0,20.31,0.267,8.215,45.91866,-84.2581,73.8012,52.2113,12.44583,4,0
Boot Island 46,CSMI I June 2023,28,5.8453,1.0663,12.9435,121.470572,196.894,-1.5922,104.0608,1290.5,0.31276,0.024237,1000.1535,381.836,27.459,0,19.28,0.275,8.212,45.91867,-84.25811,72.546,52.0909,12.48946,3,0
Boot Island 46,CSMI I June 2023,29,5.6969,1.0187,12.9741,121.263192,197.509,-1.6385,104.1814,1292.6,0.19543,0.015121,1000.1628,385.419,28.44,0,18.27,0.273,8.206,45.91868,-84.25811,72.7651,51.5207,12.53673,4,0
Boot Island 46,CSMI I June 2023,30,5.5511,0.9589,13.0023,121.050071,198.102,-1.7448,104.4585,1294.6,0.092787,0.0071684,1000.1717,388.906,29.42,0,17.28,0.284,8.196,45.91868,-84.2581,74.0787,51.7875,12.58343,3,0
Boot Island 46,CSMI I June 2023,31,5.4063,0.8397,13.0051,120.803176,198.641,-1.9066,104.882,1296.1,0.015957,0.0012322,1000.1801,392.314,30.4,0,16.23,0.288,8.191,45.91866,-84.25812,74.8664,52.2135,12.63018,4,0
Boot Island 46,CSMI I June 2023,32,4.8772,0.7066,13.0962,120.073864,200.945,-2.1082,105.4122,1296.9,0.0011532,0.000089032,1000.1954,395.658,31.381,0,15.21,0.296,8.176,45.91866,-84.25811,75.7348,53.3358,12.80377,3,0
Boot Island 46,CSMI I June 2023,33,4.574,0.3496,13.1061,119.633143,202.254,-2.4084,106.2063,1297.6,1.00E-12,7.71E-14,1000.2049,398.935,32.362,0,14.2,0.3,8.157,45.91866,-84.25811,76.7001,52.6235,12.90454,3,0
Boot Island 46,CSMI I June 2023,34,4.5045,0.2318,13.1088,119.497612,202.5,-2.9162,107.5628,1298.9,1.00E-12,7.70E-14,1000.2105,402.151,33.343,0,13.19,0.307,8.145,45.91866,-84.25812,77.0616,52.3449,12.92788,3,0
Boot Island 46,CSMI I June 2023,35,4.4531,0.2117,13.1252,119.421863,202.725,-3.2043,108.3399,1301.3,1.00E-12,7.68E-14,1000.2158,405.34,34.324,0,12.16,0.309,8.141,45.91866,-84.25812,74.1449,49.5057,12.94523,3,0
Boot Island 46,CSMI I June 2023,36,4.4344,0.1559,13.1256,119.383084,202.788,-3.3286,108.6773,1302.4,1.00E-12,7.68E-14,1000.2208,408.496,35.303,0,11.15,0.31,8.136,45.91866,-84.25812,74.2507,49.9047,12.95153,3,0
Boot Island 46,CSMI I June 2023,37,4.4269,0.1939,13.1164,119.377801,202.83,-3.3734,108.7994,1303.1,1.00E-12,7.67E-14,1000.2257,411.51,36.285,0,10.15,0.324,8.133,45.91868,-84.25812,74.3592,50.0078,12.95406,4,0
Boot Island 46,CSMI I June 2023,38,4.4216,0.2075,13.1067,119.363981,202.844,-3.4004,108.8729,1304,1.00E-12,7.67E-14,1000.2306,414.517,37.264,0,9.14,0.332,8.131,45.91868,-84.25812,74.359,49.7953,12.95588,2,0
Boot Island 46,CSMI I June 2023,39,4.4091,0.2384,13.1191,119.341903,202.892,-3.4301,108.9538,1305.7,1.00E-12,7.66E-14,1000.2356,417.514,38.246,0,8.13,0.327,8.13,45.91868,-84.25813,74.6657,49.94,12.96008,4,0
Boot Island 46,CSMI I June 2023,40,4.3979,0.2282,13.1158,119.331243,202.952,-3.4379,108.975,1307.5,1.00E-12,7.65E-14,1000.2405,420.431,39.226,0,7.18,0.34,8.127,45.91868,-84.25814,75.0818,50.2129,12.96388,2,0
Boot Island 46,CSMI I June 2023,41,4.3823,0.2383,13.1203,119.310271,203.024,-3.4564,109.0253,1308.8,1.00E-12,7.64E-14,1000.2455,423.32,40.208,0,6.08,0.338,8.126,45.91868,-84.25814,74.5408,49.6378,12.96917,3,0
Boot Island 46,CSMI I June 2023,42,4.3762,0.1359,13.1113,119.304865,203.057,-3.4619,109.0404,1309.9,1.00E-12,7.63E-14,1000.2504,426.169,41.188,0,5.13,0.346,8.124,45.91868,-84.25813,74.7752,49.8025,12.97122,3,0
Boot Island 46,CSMI I June 2023,43,4.3686,0.1233,13.1077,119.297997,203.098,-3.4901,109.1172,1311,1.00E-12,7.63E-14,1000.2553,428.977,42.168,0,4.09,0.352,8.124,45.91868,-84.25814,75.1698,50.078,12.97381,3,0
Boot Island 46,CSMI I June 2023,44,4.3538,0.1065,13.1095,119.284573,203.177,-3.4772,109.0821,1312.5,1.00E-12,7.62E-14,1000.2602,431.729,43.152,0,3.02,0.357,8.121,45.91866,-84.25814,75.7655,50.8651,12.97881,3,0
Boot Island 46,CSMI I June 2023,45,4.3517,0.1239,13.1173,119.273066,203.171,-3.4909,109.1194,1315.2,1.00E-12,7.60E-14,1000.2651,434.772,44.088,0,1.85,0.305,8.118,45.91866,-84.25814,74.1322,49.3531,12.97953,1,0
Boot Island 73,CSMI I June 2023,1,9.503,-0.0073,10.9912,131.10496,189.978,0.4151,98.9715,1172.5,78.487,6.6893,999.8186,114.778,0.981,0,76.45,0.534,8.453,45.85501,-84.25628,-133.5678,-10.4843,11.41524,2,0
Boot Island 73,CSMI I June 2023,2,9.4923,0.0372,12.2666,131.121603,190.061,-0.9465,102.4118,1178.4,49.853,4.2321,999.8242,201.253,1.961,0,74.83,0.119,8.296,45.85504,-84.25636,24.8637,37.9896,11.41817,179,0
Boot Island 73,CSMI I June 2023,3,9.4075,0.0162,11.8935,130.637396,189.826,-1.3127,103.3364,1200,37.414,3.1184,999.8356,315.114,2.943,0,74.03,0.342,8.242,45.85512,-84.25656,-72.1502,3.6172,11.44126,3,0
Boot Island 73,CSMI I June 2023,4,9.3614,0.1139,11.8413,130.484334,189.858,-1.2969,103.2954,1200.9,31.207,2.5986,999.844,324.389,3.921,0,72.98,0.389,8.241,45.85512,-84.25658,66.6685,50.0514,11.45381,2,0
Boot Island 73,CSMI I June 2023,5,9.136,0.1504,11.9014,129.963857,190.35,-1.1725,102.9747,1200.3,25.166,2.0965,999.8665,326.998,4.904,0,71.93,0.38,8.242,45.85512,-84.25658,73.2197,51.8946,11.51566,3,0
Boot Island 73,CSMI I June 2023,6,9.1001,0.1936,11.9239,129.877338,190.423,-1.0964,102.779,1200.9,19.892,1.6565,999.8739,329.49,5.884,0,70.93,0.391,8.242,45.85512,-84.25658,72.6519,52.3818,11.52555,2,0
Boot Island 73,CSMI I June 2023,7,8.9725,0.263,11.9806,129.410073,190.451,-0.9837,102.4899,1200.9,18.208,1.5162,999.8882,331.948,6.865,0,69.95,0.397,8.244,45.85512,-84.25659,74.244,54.069,11.56091,3,0
Boot Island 73,CSMI I June 2023,8,8.7762,0.4381,12.0147,129.023376,190.986,-0.9923,102.5118,1201.7,15.987,1.3304,999.9075,334.381,7.845,0,68.92,0.406,8.248,45.8551,-84.2566,73.5412,53.6006,11.6156,2,0
Boot Island 73,CSMI I June 2023,9,8.6404,0.5108,12.0806,128.888153,191.555,-0.9525,102.4098,1201.8,13.78,1.1467,999.922,336.842,8.827,0,67.92,0.397,8.246,45.8551,-84.2566,73.9333,53.0447,11.65368,2,0
Boot Island 73,CSMI I June 2023,10,8.5851,0.5941,12.1373,128.753608,191.671,-0.9215,102.3304,1203.9,11.818,0.98163,999.9306,339.174,9.807,0,66.91,0.415,8.249,45.8551,-84.25661,72.5648,52.019,11.66925,3,0
Boot Island 73,CSMI I June 2023,11,8.4113,0.657,12.1936,128.368853,192.093,-0.9967,102.523,1204.4,10.164,0.84394,999.9471,341.436,10.787,0,65.93,0.44,8.25,45.8551,-84.25662,73.9586,53.8288,11.7185,2,0
Boot Island 73,CSMI I June 2023,12,8.3209,0.7834,12.2154,128.220092,192.39,-0.9855,102.4944,1203.4,8.7012,0.72306,999.958,343.78,11.77,0,64.86,0.415,8.25,45.8551,-84.25663,72.879,52.1711,11.7442,2,0
Boot Island 73,CSMI I June 2023,13,8.2978,0.8688,12.2688,128.313009,192.664,-1.0265,102.5996,1205.5,7.4757,0.62014,999.9643,345.953,12.748,0,63.68,0.446,8.25,45.8551,-84.25664,73.3754,52.3811,11.75079,3,0
Boot Island 73,CSMI I June 2023,14,8.2797,0.9295,12.2633,128.247968,192.67,-1.0372,102.6268,1206.8,6.3905,0.52958,999.9702,348.151,13.729,0,62.8,0.448,8.247,45.8551,-84.25664,73.2772,51.8767,11.75596,2,0
Boot Island 73,CSMI I June 2023,15,8.2524,1.008,12.2641,128.10558,192.615,-1.0651,102.6985,1209.4,5.4321,0.44917,999.9766,350.333,14.712,0,61.82,0.449,8.248,45.8551,-84.25666,73.2601,52.0632,11.76377,2,0
Boot Island 73,CSMI I June 2023,16,8.1592,1.0471,12.2761,127.907929,192.857,-1.0619,102.6905,1209.6,4.6301,0.38278,999.9874,352.422,15.69,0,60.78,0.471,8.251,45.8551,-84.25666,73.2601,51.9465,11.79049,2,0
Boot Island 73,CSMI I June 2023,17,7.9649,1.118,12.3284,127.569531,193.482,-1.0442,102.645,1209.6,3.9243,0.32442,1000.0043,354.532,16.673,0,59.76,0.464,8.252,45.8551,-84.25666,73.5082,52.8435,11.84656,2,0
Boot Island 73,CSMI I June 2023,18,7.7364,1.1418,12.4038,127.22157,194.303,-1.0358,102.6233,1207.5,3.3064,0.27382,1000.0227,356.785,17.65,0,58.67,0.426,8.249,45.85508,-84.25668,73.0208,52.9611,11.91312,3,0
Boot Island 73,CSMI I June 2023,19,7.4094,1.2386,12.5222,126.785412,195.589,-1.0671,102.7035,1207,2.7697,0.22948,1000.0459,359.466,18.632,0,57.62,0.362,8.249,45.85508,-84.25669,73.2562,52.3918,12.00937,2,0
Boot Island 73,CSMI I June 2023,20,7.1567,1.36,12.6314,126.109913,196.075,-1.1396,102.89,1206.7,2.3198,0.19225,1000.0637,362.362,19.613,0,56.6,0.337,8.245,45.85508,-84.2567,73.3999,52.6055,12.0847,3,0
Boot Island 73,CSMI I June 2023,21,6.9362,1.3991,12.719,125.521133,196.509,-1.1305,102.8665,1206.7,1.9247,0.1595,1000.079,365.249,20.594,0,55.59,0.342,8.247,45.85508,-84.2567,73.7349,53.0222,12.15116,3,0
Boot Island 73,CSMI I June 2023,22,6.5473,1.4599,12.8209,124.62419,197.512,-1.1499,102.9165,1206.1,1.602,0.13282,1000.1005,368.057,21.576,0,54.59,0.343,8.242,45.85508,-84.25673,74.7862,53.1761,12.27006,3,0
Boot Island 73,CSMI I June 2023,23,6.03,1.3911,12.9302,123.308064,198.685,-1.2872,103.2705,1206.1,1.3164,0.10914,1000.1243,370.782,22.555,0,53.59,0.358,8.233,45.85507,-84.25674,75.2189,54.0156,12.43119,3,0
Boot Island 73,CSMI I June 2023,24,5.6747,1.2818,13.0642,122.234737,199.235,-1.5441,103.9359,1205.3,1.0697,0.088749,1000.14,373.48,23.535,0,52.6,0.373,8.224,45.85506,-84.25674,73.2762,52.3943,12.54376,2,0
Boot Island 73,CSMI I June 2023,25,5.3622,1.1775,13.1301,121.230532,199.633,-1.7275,104.4134,1204.9,0.85672,0.0711,1000.1526,376.203,24.518,0,51.43,0.36,8.215,45.85506,-84.25675,73.7442,51.5377,12.64445,3,0
Boot Island 73,CSMI I June 2023,26,5.1369,1.1141,13.1829,120.626898,200.124,-1.9067,104.8823,1205,0.68104,0.056522,1000.1622,378.754,25.497,0,50.49,0.383,8.208,45.85506,-84.25677,74.0067,51.7854,12.71789,3,0
Boot Island 73,CSMI I June 2023,27,5.0352,1.026,13.2175,120.446583,200.502,-2.0824,105.3441,1204.4,0.52475,0.043569,1000.169,381.359,26.479,0,49.54,0.376,8.201,45.85505,-84.25678,73.4189,51.1131,12.75124,2,0
Boot Island 73,CSMI I June 2023,28,4.9275,0.9406,13.2215,120.177852,200.774,-2.2406,105.7614,1204.9,0.3881,0.032213,1000.1757,383.825,27.459,0,48.51,0.397,8.193,45.85504,-84.25679,73.7607,51.9457,12.78674,3,0
Boot Island 73,CSMI I June 2023,29,4.8682,0.8694,13.2187,120.051442,200.961,-2.3661,106.0938,1204.4,0.27038,0.022449,1000.1814,386.303,28.439,0,47.51,0.395,8.189,45.85504,-84.2568,73.1894,51.146,12.80637,2,0
Boot Island 73,CSMI I June 2023,30,4.7974,0.8266,13.229,119.944946,201.259,-2.424,106.2473,1204.4,0.16427,0.013639,1000.1874,388.908,29.42,0,46.45,0.368,8.185,45.85504,-84.25681,73.3732,50.3852,12.82986,3,0
Boot Island 73,CSMI I June 2023,31,4.6581,0.7702,13.2321,119.631442,201.677,-2.5317,106.5339,1202.7,0.072231,0.0060047,1000.1941,391.777,30.4,0,45.47,0.343,8.179,45.85503,-84.25684,73.6083,50.6237,12.87634,3,0
Boot Island 73,CSMI I June 2023,32,4.5377,0.6559,13.2562,119.511405,202.297,-2.7076,107.0035,1202.6,0.010288,0.0008555,1000.2004,394.68,31.382,0,44.43,0.342,8.169,45.85502,-84.25684,74.6443,51.3309,12.91677,3,0
Boot Island 73,CSMI I June 2023,33,4.348,0.5047,13.2674,118.964045,202.671,-2.8816,107.47,1202.6,-0.00009894,-0.000008227,1000.2069,397.566,32.363,0,43.4,0.336,8.16,45.85502,-84.25685,74.3482,50.4783,12.9808,2,0
Boot Island 73,CSMI I June 2023,34,4.259,0.4384,13.2281,118.631282,202.719,-3.0764,107.9943,1202.6,1.00E-12,8.32E-14,1000.2123,400.34,33.343,0,42.38,0.354,8.149,45.85502,-84.25686,74.1741,49.9123,13.01106,3,0
Boot Island 73,CSMI I June 2023,35,4.2287,0.3712,13.2167,118.512809,202.726,-3.203,108.3369,1201.4,1.00E-12,8.32E-14,1000.2173,403.107,34.323,0,41.35,0.355,8.146,45.855,-84.25688,74.2805,50.3722,13.02139,3,0
Boot Island 73,CSMI I June 2023,36,4.1911,0.34,13.2037,118.382036,202.764,-3.2362,108.4268,1202.7,1.00E-12,8.31E-14,1000.2223,406.177,35.304,0,40.23,0.307,8.14,45.855,-84.25689,74.2776,49.8615,13.03423,3,0
Boot Island 73,CSMI I June 2023,37,4.1395,0.3131,13.2172,118.315419,203.008,-3.2898,108.5722,1202.2,1.00E-12,8.32E-14,1000.2274,409.534,36.284,0,38.99,0.295,8.138,45.855,-84.2569,74.0516,50.0086,13.05188,4,0
Boot Island 73,CSMI I June 2023,38,4.0734,0.2548,13.2162,118.343685,203.518,-3.3391,108.7061,1201,1.00E-12,8.33E-14,1000.2326,412.773,37.265,0,38.17,0.306,8.132,45.855,-84.25691,74.0347,49.6353,13.07453,3,0
Boot Island 73,CSMI I June 2023,39,4.0486,0.177,13.211,118.375348,203.747,-3.4118,108.9039,1199.7,1.00E-12,8.34E-14,1000.2376,416.033,38.246,0,37.2,0.302,8.125,45.855,-84.25692,74.6094,50.4654,13.08304,3,0
Boot Island 73,CSMI I June 2023,40,4.0453,0.1778,13.2017,118.423115,203.852,-3.4072,108.8912,1199,1.00E-12,8.34E-14,1000.2425,419.269,39.227,0,36.11,0.301,8.124,45.855,-84.25694,74.0711,49.8391,13.08417,3,0
Boot Island 73,CSMI I June 2023,41,4.032,0.1306,13.1845,118.52929,204.129,-3.4655,109.0503,1197.8,1.00E-12,8.35E-14,1000.2475,422.455,40.209,0,35.11,0.305,8.122,45.85498,-84.25694,74.4898,49.6748,13.08877,3,0
Boot Island 73,CSMI I June 2023,42,4.0256,0.1146,13.1877,118.610985,204.315,-3.4958,109.1326,1196.9,1.00E-12,8.35E-14,1000.2524,425.59,41.188,0,33.98,0.313,8.117,45.85498,-84.25697,74.2316,49.5121,13.09095,4,0
Boot Island 73,CSMI I June 2023,43,4.0165,0.1388,13.1816,118.70309,204.537,-3.5361,109.2429,1196.3,1.00E-12,8.36E-14,1000.2573,428.656,42.169,0,33,0.322,8.11,45.85498,-84.25699,74.5672,49.7702,13.09409,3,0
Boot Island 73,CSMI I June 2023,44,4.0106,0.1575,13.1763,118.732952,204.63,-3.5406,109.2552,1195.7,1.00E-12,8.36E-14,1000.2623,431.66,43.15,0,31.99,0.329,8.112,45.85498,-84.257,74.7475,50.3051,13.09609,3,0
Boot Island 73,CSMI I June 2023,45,4.0065,0.1596,13.1733,118.757734,204.702,-3.55,109.2807,1195.6,1.00E-12,8.36E-14,1000.2671,434.595,44.13,0,30.97,0.333,8.111,45.85498,-84.25702,74.5548,49.472,13.0975,3,0
