STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7072,Epi,10.16,440.8,2.75,564,4.88,1,4.43,28.53,9.2,7.42,15.8,0.562,2.02,1.405,0.121
7073,Mid,12.99,425,2.7,515,1.95,0.98,4.5,29.08,8.81,7.39,15.96,0.391,1.86,0.726,0.189
7074,Bottom ,11.64,405,2.37,575,2.34,0.99,4.45,29.86,8.67,7.43,16.09,0.416,1.99,0.647,0.005
7076,Epi,12.17,322.7,2.79,419,0.61,0.96,4.35,26.22,7.64,7.17,16.05,0.267,1.66,0.107,-0.02
7077,Mid,6.98,313.7,2.64,464,2.01,0.95,4.39,25.85,7.62,7.24,15.94,0.336,1.7,0.1,0.12
7078,Bottom ,7.03,305.9,2.39,429,2.13,0.94,4.37,25.67,7.12,7.24,15.96,0.318,1.62,0.08,0.073
7080,Epi,8.18,383.8,2.04,565,2.82,1.03,5.05,27.81,8.13,8.56,16.47,0.946,1.84,1.045,0.14
7081,Mid,9.29,378.8,2.17,564,4.69,1.04,4.99,27.58,8.13,8.22,16.39,1.228,1.98,1.99,0.53
7082,Bottom ,8.13,404.2,2.4,583,2.34,1.09,5.09,28.23,8.22,8.57,16.6,0.81,1.95,0.795,0.075
7084,Epi,9.81,307.1,3.11,422,1.39,0.96,4.42,27.01,7.54,7.34,15.88,0.323,1.64,0.03,-0.01
7085,Mid,9.99,303.6,2.69,438,2.25,0.95,4.45,24.71,7.64,7.11,15.81,0.32,1.6,0.13,0.02
7086,Bottom ,7.09,303.3,2.32,455,2.18,0.97,4.41,26.35,7.55,7.12,15.84,0.333,1.66,0.07,0.01
7088,Epi,6.24,313.6,2.3,440,4.16,0.97,4.39,26.57,7.32,7.07,15.77,0.394,1.55,0.11,0.02
7089,Mid,10.4,320.7,3.88,445,8.57,0.96,4.34,26.21,7.49,7.07,15.85,0.426,1.62,0.07,
7090,Bottom ,10.32,317.8,3.17,451,2.03,0.97,4.38,26.4,7.54,7.09,15.77,0.439,1.63,-4.83,-0.04
7092,Epi,15.89,286.2,3.54,426,2.83,1.03,4.96,26.42,8.56,8.04,16.5,0.141,1.86,0.08,0.017
7093,Mid,9.02,280.1,3.26,425,2.52,1.05,4.94,27.06,8.34,8.05,16.58,0.134,1.88,0.114,-0.091
7094,Bottom ,10.96,283.1,1.26,255,1.27,1.04,4.83,28.08,8.4,8.02,16.53,0.127,1.8,0.183,0.114
7096,Epi,4.76,306,3.07,438,0.61,0.94,4.44,26.4,7.53,6.94,15.5,0.385,1.5,0.124,0.1
7097,Mid,4.96,280,5.58,419,0.61,0.95,4.37,25.62,7.65,6.99,15.6,0.358,1.53,0.307,0.22
7098,Bottom ,5.86,304.9,3.2,417,0.61,0.95,4.39,25.75,7.72,6.96,15.58,0.411,1.49,0.23,-0.015
7100,Epi,5.27,308.5,3.19,427,0.61,0.91,4.26,25.75,7.4,6.87,15.44,0.511,1.5,0.149,0.093
7101,Mid,11.1,310,3.14,434,0.61,0.97,4.27,26.04,7.27,6.87,15.47,0.47,1.61,0.2,0.153
7102,Bottom ,8.23,310,2.68,426,0.61,0.95,4.28,25.14,7.71,6.86,15.55,0.407,1.51,0.164,0.092
7112,Epi,6.43,311.3,2.77,429,0.61,0.93,4.37,25.42,7.63,7.01,15.94,0.545,1.54,-0.02,0.027
7113,Mid,12.42,309.2,1.63,449,2.75,0.92,4.29,25.25,7.58,7.03,15.96,0.589,1.5,0.213,-0.007
7114,Bottom ,11.77,313.6,2.82,438,0.61,0.91,4.31,25.18,7.66,7.03,15.95,0.563,1.46,0.213,0.107
7116,Epi,24.69,244.1,4.24,430,2.58,0.75,3.77,18.93,5.38,5.47,13.17,1.7205,2.83,1.833,0.413
7117,Mid,10.74,239.1,3.45,442,0.61,0.75,3.73,19.05,5.32,5.37,13.03,1.3736,2.76,0.84,0.32
7118,Bottom,10.04,236.9,3.68,427,2.46,0.74,3.74,18.42,5.31,5.29,12.8,1.6137,2.67,-0.467,-0.007
7120,Epi,12.06,231,4.98,419,0.61,0.73,3.73,18.43,5.23,5.23,12.68,1.7241,2.48,0.807,0.413
7121,Mid,14.5,273.4,3.34,420,2.1,0.83,3.67,19.93,5.75,5.32,12.55,1.3994,2.16,0.493,0.267
7122,Bottom,16.9,284.5,3.1,414,0.61,0.84,3.65,20.38,5.86,5.44,12.78,0.6164,2.38,0.429,0.129
7124,Epi,2.48,227.4,2.99,366,0.61,0.87,3.9,20.4,5.91,5.71,13.66,1.3906,2.29,0.753,0.66
7125,Mid,7.81,193.1,3.17,362,2.72,0.87,4.02,19.45,5.74,5.66,13.71,2.0493,2.6,0.82,0.547
