STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22344,July,E July,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Bottom,61,,,,,,492,3.09,,,,,,,,,1.02
22366,July,L July,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Epi,5,,,,,,485,3.08,,,,,,,,,0.55
22367,July,L July,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Mid,14,,,,,,468,2.22,,,,,,,,,0.9
22368,July,L July,USGS,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Bottom,61,,,,,,460,1.42,,,,,,,,,0.71
22170A,Aug,Aug,LEII,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI,8/4/2022,8/4/2022,15:00,63.2,Epi,5,No,Stratified,18.2,299,2.74,448,4.35,0.93,4.69,23.93,7.61,8.65,15.51,2.15,4.07,0.8
22171A,Aug,Aug,LEII,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI,8/4/2022,8/4/2022,15:00,63.2,Mid,14,No,Stratified,11.9,306,2.92,417,6.54,0.88,4.4,23.34,7.33,8.05,15.21,2.16,5.03,0.91
22172A,Aug,Aug,LEII,Lake Huron,Harbor Beach 63,SMB,Offshore,CSMI,8/4/2022,8/4/2022,15:00,63.2,Bottom,61.1,No,Stratified,16.1,311,3.56,431,4.53,0.93,4.43,24.42,7.48,8,15.28,2.05,5.01,0.52
22178,June,E June,LEII,Lake Huron,Maitland River 18,SMB,Midshore,CSMI,6/7/2022,6/7/2022,16:53,19.4,Epi,5,No,Stratified,9.86,329,3.43,448,5.78,0.92,4.47,24.12,7.27,0.33,0.62,1.84,4.15,0.44
22179,June,E June,LEII,Lake Huron,Maitland River 18,SMB,Midshore,CSMI,6/7/2022,6/7/2022,16:53,19.4,Mid,11,No,Stratified,11.41,318,3.53,479,5.52,0.92,4.37,22.78,7.09,7.54,15.6,1.75,4.13,0.45
22180,June,E June,LEII,Lake Huron,Maitland River 18,SMB,Midshore,CSMI,6/7/2022,6/7/2022,16:53,19.4,Bottom,17,No,Stratified,10.92,283,4.02,429,7.37,0.9,4.32,23.48,7.15,7.57,15.66,1.68,4.26,0.37
22178A,Aug,Aug,LEII,Lake Huron,Maitland River 18,SMB,Midshore,CSMI,8/5/2022,8/5/2022,17:20,19.9,Epi,5,No,Unstratified,15.8,311,3.15,435,2.6,0.97,4.53,24.05,7.53,7.67,15.13,2.12,4.49,0.64
22179A,Aug,Aug,LEII,Lake Huron,Maitland River 18,SMB,Midshore,CSMI,8/5/2022,8/5/2022,17:20,19.9,Mid,11.5,No,Unstratified,20.8,301,2.92,425,3.71,0.92,4.46,23.88,7.48,7.62,15.26,2.04,3.98,0.65
22180A,Aug,Aug,LEII,Lake Huron,Maitland River 18,SMB,Midshore,CSMI,8/5/2022,8/5/2022,17:20,19.9,Bottom,17.9,No,Unstratified,29.2,265,3.33,414,4.54,0.88,4.35,24.05,7.49,7.62,15.21,1.94,3.98,0.59
22182,June,E June,LEII,Lake Huron,Maitland River 46,SMB,Midshore,CSMI,6/8/2022,6/8/2022,9:20,47.6,Epi,5,No,Unstratified,7.53,324,3.51,500,7.41,0.94,4.4,23.94,7.22,7.47,15.68,1.67,4.47,0.64
22183,June,E June,LEII,Lake Huron,Maitland River 46,SMB,Midshore,CSMI,6/8/2022,6/8/2022,9:20,47.6,Mid,25,No,Unstratified,14.09,298,3.21,417,6.84,0.89,4.1,23.62,7.11,7.69,15.72,1.72,4.96,0.5
22184,June,E June,LEII,Lake Huron,Maitland River 46,SMB,Midshore,CSMI,6/8/2022,6/8/2022,9:20,47.6,Bottom,45,No,Unstratified,17.26,288,3.53,430,8.29,0.92,4.48,23.81,7.4,7.54,15.68,1.8,4.84,0.56
22182A,Aug,Aug,LEII,Lake Huron,Maitland River 46,SMB,Midshore,CSMI,8/5/2022,8/5/2022,16:30,46,Epi,5,No,Stratified,16.4,309,3.6,415,5.92,0.9,4.54,23.75,7.54,7.48,15.11,2.06,3.92,1.05
22183A,Aug,Aug,LEII,Lake Huron,Maitland River 46,SMB,Midshore,CSMI,8/5/2022,8/5/2022,16:30,46,Mid,17,No,Stratified,13.7,303,2.96,411,5.03,1,4.53,23.6,7.55,7.41,14.95,2.06,4.19,0.96
22184A,Aug,Aug,LEII,Lake Huron,Maitland River 46,SMB,Midshore,CSMI,8/5/2022,8/5/2022,16:30,46,Bottom,44,No,Stratified,26.3,313,4.09,428,5.29,0.89,4.42,23.54,7.47,7.32,15.01,2.03,5.14,0.42
22174,June,E June,LEII,Lake Huron,Maitland River 5,SMB,Nearshore,CSMI,6/8/2022,6/8/2022,7:26,8.9,Epi,5,No,Unstratified,21.28,401,2.9,567,7.32,1.05,4.94,25.91,8.21,8.74,17.81,2.06,2.4,0.79
22174A,Aug,Aug,LEII,Lake Huron,Maitland River 5,SMB,Nearshore,CSMI,8/6/2022,8/6/2022,8:08,9.8,Epi,5,No,Unstratified,40.5,310,2.88,477,6.02,0.94,5.14,25.91,8.19,9.05,17.48,2.2,4.17,0.94
22186,June,E June,LEII,Lake Huron,Maitland River 73,SMB,Offshore,CSMI,6/8/2022,6/8/2022,10:29,74,Epi,5,Yes,Unstratifield,9.01,297,3.43,430,7.93,0.9,4.47,23.71,7.38,7.55,15.74,2.24,4.82,0.71
22188,June,E June,LEII,Lake Huron,Maitland River 73,SMB,Offshore,CSMI,6/8/2022,6/8/2022,10:29,74,Bottom,71,Yes,Unstratifield,14.23,302,3.6,395,8.03,0.88,4.38,23.65,7.38,7.6,15.82,1.71,4.88,0.29
22189,June,E June,LEII,Lake Huron,Maitland River 73,SMB,Offshore,CSMI,6/8/2022,6/8/2022,10:29,74,Mid,38,Yes,Unstratifield,8.66,304,3.69,467,12.9,0.91,4.38,23.53,7.39,7.54,15.66,1.8,4.69,0.83
22186A,Aug,Aug,LEII,Lake Huron,Maitland River 73,SMB,Offshore,CSMI,8/5/2022,8/5/2022,14:40,72.9,Epi,5,Yes,Stratified,28.7,296,2.6,414,4.96,0.96,4.51,23.35,7.48,7.51,14.99,2.15,4.37,0.59
22188A,Aug,Aug,LEII,Lake Huron,Maitland River 73,SMB,Offshore,CSMI,8/5/2022,8/5/2022,14:40,72.9,Bottom,71,Yes,Stratified,33.5,321,3.74,424,4.47,0.93,4.41,23.18,7.39,7.32,15,1.96,5.61,0.2
22189A,Aug,Aug,LEII,Lake Huron,Maitland River 73,SMB,Offshore,CSMI,8/5/2022,8/5/2022,14:40,72.9,Mid,40,Yes,Stratified,45.6,324,2.06,423,2.98,0.87,4.34,23.47,7.39,7.36,15.1,1.93,5.22,0.53
22138,June,E June,LEII,Lake Huron,Nottawasaga River 18,GB,Midshore,CSMI,6/11/2022,6/11/2022,0:00,19.6,Epi,5,No,Unstratified,9.42,251.2,2.42,455,4.93,0.79,4.46,22.17,6.72,7.87,13.77,2.05,3.83,0.75
22139,June,E June,LEII,Lake Huron,Nottawasaga River 18,GB,Midshore,CSMI,6/11/2022,6/11/2022,0:00,19.6,Mid,12,No,Unstratified,14.6,257,1.76,391,7.01,0.85,4.41,22.25,6.64,7.71,13.72,1.92,3.81,0.6
22140,June,E June,LEII,Lake Huron,Nottawasaga River 18,GB,Midshore,CSMI,6/11/2022,6/11/2022,0:00,19.6,Bottom,18,No,Unstratified,9.65,252,1.87,366,5.05,0.86,4.42,22.11,6.67,7.75,14.06,2.09,4.09,0.75
22138A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 18,GB,Midshore,CSMI,8/7/2022,8/8/2022,16:45,19.7,Epi,5,No,Unstratified,19.3,268,2.71,375,4.34,0.93,4.84,22.53,6.7,8.8,13.42,2.34,3.15,0.84
22139A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 18,GB,Midshore,CSMI,8/7/2022,8/8/2022,16:45,19.7,Mid,11.4,No,Unstratified,17.3,238,2.45,399,4.21,0.84,4.77,22.27,6.64,8.36,13.04,2.35,3.49,1.03
22140A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 18,GB,Midshore,CSMI,8/7/2022,8/8/2022,16:45,19.7,Bottom,17.8,No,Unstratified,17.1,253,2.68,420,6.66,0.8,4.51,22.76,6.65,8,13.25,2.26,3.87,1.8
22142,June,E June,LEII,Lake Huron,Nottawasaga River 46,GB,Midshore,CSMI,6/10/2022,6/10/2022,17:41,48.5,Epi,5,No,Stratified,10.9,258,1.69,381,7,0.81,4.47,22.38,6.67,7.77,13.46,2.07,4.11,0.58
22143,June,E June,LEII,Lake Huron,Nottawasaga River 46,GB,Midshore,CSMI,6/10/2022,6/10/2022,17:41,48.5,Mid,25,No,Stratified,7.58,259,1.98,402,6.31,0.83,4.44,22.06,6.58,7.6,13.43,2.01,4,0.65
22144,June,E June,LEII,Lake Huron,Nottawasaga River 46,GB,Midshore,CSMI,6/10/2022,6/10/2022,17:41,48.5,Bottom,45,No,Stratified,10.1,249,1.2,362,7.02,0.83,4.42,22.41,6.64,8.46,14.03,1.87,4.02,0.38
22142A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 46,GB,Midshore,CSMI,8/7/2022,8/8/2022,15:50,48,Epi,5,Yes,Stratified,20.4,312,2.89,382,6.13,0.8,4.53,22.14,6.55,8.3,13.26,2.36,3.15,0.74
22144A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 46,GB,Midshore,CSMI,8/7/2022,8/8/2022,15:50,48,Bottom,46,Yes,Stratified,34.2,335,3.13,435,4.98,0.8,4.46,22.56,6.76,7.92,13.27,2.01,4.64,0.51
22145A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 46,GB,Midshore,CSMI,8/7/2022,8/8/2022,15:50,48,Mid,23.5,Yes,Stratified,17.3,306,2.74,368,5,0.8,4.4,22.03,6.65,7.81,13.23,2.16,3.55,1.32
22134,June,E June,LEII,Lake Huron,Nottawasaga River 5,GB,Nearshore,CSMI,6/11/2022,6/11/2022,8:12,5.5,Epi,3,No,Unstratified,13.6,279.53,2.67,395,7.07,0.85,4.65,22.81,6.84,8.27,14.09,2.21,3.49,0.76
22146,June,E June,LEII,Lake Huron,Nottawasaga River 82,GB,Offshore,CSMI,6/10/2022,6/10/2022,14:58,86.7,Epi,5,Yes,Stratified,16.7,274,2.17,418,7.68,0.82,4.45,21.95,6.51,8.31,14.02,2.04,4.32,0.47
22148,June,E June,LEII,Lake Huron,Nottawasaga River 82,GB,Offshore,CSMI,6/10/2022,6/10/2022,14:58,86.7,Bottom,82,Yes,Stratified,11.8,270,2.26,391,5.89,0.84,4.48,22.2,6.61,7.85,13.97,2.1,4.52,0.38
22149,June,E June,LEII,Lake Huron,Nottawasaga River 82,GB,Offshore,CSMI,6/10/2022,6/10/2022,14:58,86.7,Mid,42,Yes,Stratified,11,269,2.25,383,5.01,0.82,4.44,22.2,6.6,8.22,14.08,2.08,4.22,1.14
22146A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 82,GB,Offshore,CSMI,8/7/2022,8/8/2022,13:45,84,Epi,5,Yes,Stratified,23.1,266,2.88,373,6.89,0.84,4.4,21.68,6.42,7.64,12.92,2.3,4.09,0.62
22148A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 82,GB,Offshore,CSMI,8/7/2022,8/8/2022,13:45,84,Bottom,82,Yes,Stratified,25.5,380,2.83,392,6.54,0.87,4.54,22.76,6.67,7.95,13.35,2.04,4.58,0.21
22149A,Aug,Aug,LEII,Lake Huron,Nottawasaga River 82,GB,Offshore,CSMI,8/7/2022,8/8/2022,13:45,84,Mid,39,Yes,Stratified,30.9,324,3.09,374,5.31,0.98,4.51,22.59,6.62,7.99,13.35,2.27,4.13,0.9
22122,June,E June,LEII,Lake Huron,Parry Sound 18,GB,Midshore,CSMI,6/11/2022,6/11/2022,15:27,27.2,Epi,5,No,Stratified,13.4,230.33,2.28,455,6.94,0.84,4.34,20.65,6.25,5.64,11.85,2.27,3.96,0.47
22123,June,E June,LEII,Lake Huron,Parry Sound 18,GB,Midshore,CSMI,6/11/2022,6/11/2022,15:27,27.2,Mid,15,No,Stratified,15.2,235.92,2.79,397,6.26,0.84,4.39,20.84,6.35,5.65,11.86,2.01,3.85,0.56
22124,June,E June,LEII,Lake Huron,Parry Sound 18,GB,Midshore,CSMI,6/11/2022,6/11/2022,15:27,27.2,Bottom,25,No,Stratified,14.8,248.59,3.06,392,6.02,0.82,4.3,21.02,6.46,5.79,12.21,1.99,4.11,0.34
22126,June,E June,LEII,Lake Huron,Parry Sound 46,GB,Midshore,CSMI,6/11/2022,6/11/2022,13:48,50.9,Epi,5,No,Unstratified,11.8,244.49,2.59,370,5.27,0.83,4.33,21.27,6.55,5.82,12.26,2.09,4.45,0.39
22127,June,E June,LEII,Lake Huron,Parry Sound 46,GB,Midshore,CSMI,6/11/2022,6/11/2022,13:48,50.9,Mid,26,No,Unstratified,12.5,257.16,2.89,391,6.49,0.84,4.29,21.14,6.57,5.6,11.87,2.12,4.54,0.59
22128,June,E June,LEII,Lake Huron,Parry Sound 46,GB,Midshore,CSMI,6/11/2022,6/11/2022,13:48,50.9,Bottom,48,No,Unstratified,11.9,262.38,2.85,354,5.61,0.84,4.29,21.32,6.56,7.59,14,2.21,4.39,0.38
22126A,Aug,Aug,LEII,Lake Huron,Parry Sound 46,GB,Midshore,CSMI,8/9/2022,8/9/2022,13:55,50,Epi,5,Yes,Stratified,16.6,292,3.1,369,4.61,0.83,4.23,21.24,6.4,7.55,12.73,,3.96,0.82
22128A,Aug,Aug,LEII,Lake Huron,Parry Sound 46,GB,Midshore,CSMI,8/9/2022,8/9/2022,13:55,50,Bottom,48,Yes,Stratified,28.7,300,3.9,369,3.98,0.85,4.37,21.75,6.52,7.87,13.02,2.28,4.32,0.3
22129A,Aug,Aug,LEII,Lake Huron,Parry Sound 46,GB,Midshore,CSMI,8/9/2022,8/9/2022,13:55,50,Mid,31,Yes,Stratified,23,295,2.82,383,5.84,0.86,4.49,22.05,6.58,7.96,13.01,2.17,4.15,0.61
22118,June,E June,LEII,Lake Huron,Parry Sound 5,GB,Nearshore,CSMI,6/11/2022,6/11/2022,16:23,11.4,Epi,5,No,Unstratified,11.6,202.01,2.42,387,6.65,0.79,4.45,19.7,6.01,6.87,14.07,2.3,3.6,0.44
22130,June,E June,LEII,Lake Huron,Parry Sound 82,GB,Offshore,CSMI,6/12/2022,6/12/2022,9:28,77.8,Epi,5,No,Unstratified,14,275.05,4.04,368,5.31,0.84,4.35,21.68,6.55,7.59,14,2.08,4.19,0.51
22131,June,E June,LEII,Lake Huron,Parry Sound 82,GB,Offshore,CSMI,6/12/2022,6/12/2022,9:28,77.8,Mid,40,No,Unstratified,12.9,271.7,2.93,364,5.15,0.79,4.41,21.68,6.54,7.76,14.08,1.86,4.58,0.71
22132,June,E June,LEII,Lake Huron,Parry Sound 82,GB,Offshore,CSMI,6/12/2022,6/12/2022,9:28,77.8,Bottom,74,No,Unstratified,18.1,297.79,3.22,370,4.55,0.83,4.41,21.66,6.54,7.8,14.09,2.11,4.37,0.36
22306,June,L June,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,6/16/2022,6/16/2022,,,Epi,5,,,,,,606,4.55,,,,,,,,,1.55
22308,June,L June,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,6/16/2022,6/16/2022,,,Mid,8,,,,,,598,3.98,,,,,,,,,1.73
22309,June,L June,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,6/16/2022,6/16/2022,,,Bottom,9.5,,,,,,624,6.77,,,,,,,,,2.2
22330,July,E July,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,7/9/2022,7/9/2022,,,Epi,5,,,,,,522,7.49,,,,,,,,,5.12
22331,July,E July,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,7/9/2022,7/9/2022,,,Bottom,8,,,,,,506,6.35,,,,,,,,,4.64
22346,July,L July,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,7/16/2022,7/16/2022,,,Epi,5,,,,,,468,6.17,,,,,,,,,5.2
22348,July,L July,USGS,Lake Huron,Saginaw Bay 10,SB,Nearshore,CSMI -USGS biweekly sampling,7/16/2022,7/16/2022,,,Bottom,8,,,,,,450,5.57,,,,,,,,,1.37
22154,June,E June,LEII,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI,6/6/2022,6/6/2022,15:26,15.9,Epi,5,No,Stratified,9.53,323,1.81,460,8.33,0.92,4.75,24.56,7.83,8.69,16.27,1.96,4.04,0.92
22156,June,E June,LEII,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI,6/6/2022,6/6/2022,16:26,15.9,Bottom,13,No,Stratified,9.64,317,2.11,413,7.27,0.89,4.74,24.32,7.7,8.31,16.38,2.29,4.77,0.5
22314,June,L June,USGS,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Epi,5,,,,,,502,3.5,,,,,,,,,0.86
22315,June,L June,USGS,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Bottom,10,,,,,,491,4,,,,,,,,,1.02
22354,July,L July,USGS,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI -USGS biweekly sampling,7/15/2022,7/15/2022,,,Epi,5,,,,,,460,2.3,,,,,,,,,1.29
22355,July,L July,USGS,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI -USGS biweekly sampling,7/15/2022,7/15/2022,,,Mid,8,,,,,,473,5.53,,,,,,,,,1.48
22356,July,L July,USGS,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI -USGS biweekly sampling,7/15/2022,7/15/2022,,,Bottom,11,,,,,,487,4,,,,,,,,,1.53
22154A,Aug,Aug,LEII,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI,8/2/2022,8/2/2022,14:30,15.4,Epi,5,No,Unstratified,10.6,155,2.72,393,7.59,1.14,6.63,25.98,8.46,11.87,16.03,2.91,3.94,3.36
22155A,Aug,Aug,LEII,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI,8/2/2022,8/2/2022,14:30,15.4,Mid,9,No,Unstratified,18.9,203,3.2,451,7.71,1.06,5.78,25.93,8.06,10.13,15.77,2.68,4.17,3.8
22156A,Aug,Aug,LEII,Lake Huron,Saginaw Bay 13,SB,Nearshore,CSMI,8/2/2022,8/2/2022,14:30,15.4,Bottom,13,No,Unstratified,38.8,239,3.2,523,8.95,0.94,5.18,25.44,7.78,9.04,15.48,2.41,4.45,6
22150,June,E June,LE II,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI,6/6/2022,6/6/2022,9:58,10.8,Epi,5,No,Stratified,12.3,410,0.8,550,9.73,1.05,6.01,27.24,8.61,11.05,17.39,2.63,2.82,1.35
22310,June,L June,USGS,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Epi,5,,,,,,678,8.32,,,,,,,,,0.99
22313,June,L June,USGS,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Bottom,9,,,,,,617,6.28,,,,,,,,,3.44
22350,July,L July,USGS,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI -USGS biweekly sampling,7/15/2022,7/15/2022,,,Epi,5,,,,,,498,4.68,,,,,,,,,2.24
22352,July,L July,USGS,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI -USGS biweekly sampling,7/15/2022,7/15/2022,,,Bottom,7,,,,,,516,3.05,,,,,,,,,1.55
22150A,Aug,Aug,LEII,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI,8/2/2022,8/2/2022,15:50,11.2,Epi,5,No,Unstratified,42,317,2.72,531,17.1,1.55,10.85,27.65,10.45,19.63,17.54,4.7,5.89,14.72
22152A,Aug,Aug,LEII,Lake Huron,Saginaw Bay 9,SB,Nearshore,CSMI,8/2/2022,8/2/2022,15:50,11.2,Bottom,9,No,Unstratified,35.9,38.7,4.21,518,17.6,1.35,8.94,27.2,9.8,16.34,16.94,4.27,5.61,14.52
22190,June,E June,LEII,Lake Huron,Saugeen River 18,NMB,Midshore,CSMI,6/9/2022,6/9/2022,7:35,16,Epi,5,No,Unstratified,15.64,287,3.72,412,7.93,0.88,4.36,23.64,7.44,7.52,15.63,1.93,3.62,0.53
22191,June,E June,LEII,Lake Huron,Saugeen River 18,NMB,Midshore,CSMI,6/9/2022,6/9/2022,7:35,16,Mid,10,No,Unstratified,13.38,287,3.15,417,7.8,0.89,4.4,23.62,7.43,7.6,15.8,1.86,3.72,0.53
22192,June,E June,LEII,Lake Huron,Saugeen River 18,NMB,Midshore,CSMI,6/9/2022,6/9/2022,7:35,16,Bottom,15,No,Unstratified,14.3,292,3.6,437,9.29,0.89,4.32,23.8,7.47,7.56,15.81,1.85,3.77,0.42
22190A,Aug,Aug,LEII,Lake Huron,Saugeen River 18,NMB,Midshore,CSMI,8/6/2022,8/6/2022,17:18,17,Epi,5,No,Unstratified,19.3,337,2.45,424,7.17,0.92,4.57,24.35,7.78,7.62,15.67,1.98,4.04,0.57
22191A,Aug,Aug,LEII,Lake Huron,Saugeen River 18,NMB,Midshore,CSMI,8/6/2022,8/6/2022,17:18,17,Mid,10,No,Unstratified,26,371,2.06,450,6.3,0.94,4.56,24.68,7.76,7.63,15.77,2.3,4.15,0.48
22192A,Aug,Aug,LEII,Lake Huron,Saugeen River 18,NMB,Midshore,CSMI,8/6/2022,8/6/2022,17:18,17,Bottom,15,No,Unstratified,29.2,345,1.95,408,5.5,0.93,4.63,24.15,7.62,7.65,15.33,2.07,4.22,0.43
22194,June,E June,LEII,Lake Huron,Saugeen River 46,NMB,Midshore,CSMI,6/9/2022,6/8/2022,9:08,48.7,Epi,5,No,Unstratified,7.82,304,3.65,420,8.01,0.87,4.36,23.75,7.48,7.57,15.91,1.87,4.26,0.47
22195,June,E June,LEII,Lake Huron,Saugeen River 46,NMB,Midshore,CSMI,6/9/2022,6/8/2022,9:08,48.7,Mid,25,No,Unstratified,11.2,303,3.75,426,6.41,0.97,4.44,24.09,7.51,7.54,15.77,1.78,4.47,0.82
22196,June,E June,LEII,Lake Huron,Saugeen River 46,NMB,Midshore,CSMI,6/9/2022,6/8/2022,9:08,48.7,Bottom,45,No,Unstratified,10.28,334,3.87,405,6.98,0.91,4.3,23.92,7.43,7.59,15.78,1.66,4.73,0.53
22194A,Aug,Aug,LEII,Lake Huron,Saugeen River 46,NMB,Midshore,CSMI,8/6/2022,8/6/2022,16:09,48,Epi,5,No,Stratified,18.4,364,2.11,403,8.14,0.92,4.53,23.91,7.58,7.44,14.85,2.1,4.24,0.49
22195A,Aug,Aug,LEII,Lake Huron,Saugeen River 46,NMB,Midshore,CSMI,8/6/2022,8/6/2022,16:09,48,Mid,24,No,Stratified,17.5,332,2.13,415,5.77,0.87,4.37,23.75,7.52,7.28,14.92,2.15,3.79,0.93
22196A,Aug,Aug,LEII,Lake Huron,Saugeen River 46,NMB,Midshore,CSMI,8/6/2022,8/6/2022,16:09,48,Bottom,46,No,Stratified,13.6,350,2.49,412,8.45,0.87,4.36,23.98,7.54,7.25,14.88,1.97,5.07,0.63
22234A,Aug,Aug,LEII,Lake Huron,Saugeen River 5,NMB,Nearshore,CSMI,8/7/2022,8/7/2022,7:15,10.4,Epi,5,No,Unstratified,29.6,295,3.41,399,3.44,0.97,4.61,24.68,7.71,7.8,15.73,2.33,4.71,0.43
22198,June,E June,LEII,Lake Huron,Saugeen River 82,NMB,Offshore,CSMI,6/9/2022,6/8/2022,10:47,84.1,Epi,5,No,Unstratified,9.72,332,3.78,433,6.49,0.92,4.25,23.83,7.43,7.53,15.75,1.72,4.73,0.44
22199,June,E June,LEII,Lake Huron,Saugeen River 82,NMB,Offshore,CSMI,6/9/2022,6/8/2022,10:47,84.1,Mid,42,No,Unstratified,7.46,322,3.62,405,6.94,0.9,4.35,23.75,7.46,7.47,15.74,1.62,4.73,0.67
22200,June,E June,LEII,Lake Huron,Saugeen River 82,NMB,Offshore,CSMI,6/9/2022,6/8/2022,10:47,84.1,Bottom,80,No,Unstratified,15.15,321,3.87,425,5.36,0.91,4.26,23.7,7.41,7.48,15.8,1.82,4.92,0.35
22198A,Aug,Aug,LEII,Lake Huron,Saugeen River 82,NMB,Offshore,CSMI,8/6/2022,8/6/2022,14:17,82.3,Epi,5,Yes,Stratified,24.9,319,1.5,423,7.66,0.92,4.6,24.24,7.7,7.74,15.45,2.11,4.26,0.49
22200A,Aug,Aug,LEII,Lake Huron,Saugeen River 82,NMB,Offshore,CSMI,8/6/2022,8/6/2022,14:17,82.3,Bottom,80.5,Yes,Stratified,33.7,329,2.5,413,7.69,0.94,4.41,23.83,7.48,7.33,14.99,2.13,5.35,0.16
22201A,Aug,Aug,LEII,Lake Huron,Saugeen River 82,NMB,Offshore,CSMI,8/6/2022,8/6/2022,14:17,82.3,Mid,46,Yes,Stratified,18.8,295,1.96,391,4.09,0.93,4.55,23.99,7.67,7.08,14.28,2.19,4.04,1.02
22094,June,L June,LEII,Lake Huron,Spanish River 18,NC,Midshore,CSMI,6/16/2022,6/16/2022,17:57,20.5,Epi,5,No,Unstratified,9.94,229.96,3.62,348,9.77,0.69,3.85,17.29,5.27,6.03,12.86,2.76,5.61,1.81
22095,June,L June,LEII,Lake Huron,Spanish River 18,NC,Midshore,CSMI,6/16/2022,6/16/2022,17:57,20.5,Mid,12,No,Unstratified,9.31,225.86,3.47,340,7,0.73,3.72,17.58,5.36,5.99,12.84,2.48,5.29,1.49
22096,June,L June,LEII,Lake Huron,Spanish River 18,NC,Midshore,CSMI,6/16/2022,6/16/2022,17:57,20.5,Bottom,18,No,Unstratified,13.3,239.28,3.88,394,8.4,0.7,3.9,17.4,5.27,6.07,12.81,2.74,6.03,0.93
22094A,Aug,Aug,LEII,Lake Huron,Spanish River 18,NC,Midshore,CSMI,8/13/2022,8/13/2022,14:15,20.3,Epi,5,No,Stratified,14.8,214,3.11,331,5.6,0.7,3.76,18.37,5.46,5.76,11.55,2.64,5.2,2
22096A,Aug,Aug,LEII,Lake Huron,Spanish River 18,NC,Midshore,CSMI,8/13/2022,8/13/2022,14:15,20.3,Bottom,18.5,No,Stratified,21.1,232,3.22,330,6.5,0.76,3.81,18.72,5.64,5.88,11.78,2.64,5.29,
22098,June,L June,LEII,Lake Huron,Spanish River 46,NC,Midshore,CSMI,6/18/2022,6/18/2022,10:00,46.5,Epi,5,No,Stratified,9.68,253.81,3.47,357,7.41,0.75,3.84,18.26,5.5,6.12,13.14,2.81,5.63,1.13
22099,June,L June,LEII,Lake Huron,Spanish River 46,NC,Midshore,CSMI,6/18/2022,6/18/2022,10:00,46.5,Mid,25,No,Stratified,14.3,251.95,3.77,443,8.04,0.73,3.92,18.32,5.54,6.06,13.09,2.57,5.54,0.98
