STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22211A,Aug,Aug,LEII,Lake Huron,Boot Island 46,NMB,Midshore,CSMI,8/14/2022,8/14/2022,16:10,45,Mid,18,No,Stratified,15.6,288,2.4,398,8.41,0.81,3.78,21.02,6.35,6.05,12.59,2.13,5.03,0.85
22212A,Aug,Aug,LEII,Lake Huron,Boot Island 46,NMB,Midshore,CSMI,8/14/2022,8/14/2022,16:10,45,Bottom,42.5,No,Stratified,16.1,306,2.26,442,8.85,0.86,4.1,22.34,6.99,6.74,13.89,1.95,5.37,0.51
22290,June,E June,USGS,Lake Huron,Boot Island 73,NMB,Offshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Epi,5,,,,,,410,3.44,,,,,,,,,0.63
22291,June,E June,USGS,Lake Huron,Boot Island 73,NMB,Offshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Mid,10,,,,,,464,3.4,,,,,,,,,0.53
22292,June,E June,USGS,Lake Huron,Boot Island 73,NMB,Offshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Bottom,74,,,,,,443,3.15,,,,,,,,,0.47
22214,June,L June,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,6/19/2022,6/19/2022,14:56,76,Epi,5,Yes,Stratified,3.26,300,2.45,429,7.25,0.84,3.88,21.49,6.65,6.48,13.81,1.78,4.73,0.99
22216,June,L June,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,6/19/2022,6/19/2022,14:56,76,Bottom,72,Yes,Stratified,12.3,313,2.28,448,6.29,0.9,4.17,22.63,7.1,7,14.76,1.8,5.11,0.25
22217,June,L June,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,6/19/2022,6/19/2022,14:56,76,Mid,22,Yes,Stratified,8.64,303,2.26,459,7.1,0.85,4.06,22.08,6.89,6.6,13.62,1.69,4.67,1.21
22260,July,E July,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,7/10/2022,7/10/2022,11:28,78,Epi,5,Yes,Stratified,,,,419,7.17,,,,,,,,,0.53
22262,July,E July,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,7/10/2022,7/10/2022,11:28,78,Bottom,74.4,Yes,Stratified,,,,434,3.31,,,,,,,,,0.18
22263,July,E July,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,7/10/2022,7/10/2022,11:28,78,Mid,31.2,Yes,Stratified,,,,424,3.78,,,,,,,,,1.25
22378,July,L July,USGS,Lake Huron,Boot Island 73,NMB,Offshore,CSMI -USGS biweekly sampling,7/22/2022,7/22/2022,,,Epi,5,,,,,,394,2.11,,,,,,,,,0.45
22379,July,L July,USGS,Lake Huron,Boot Island 73,NMB,Offshore,CSMI -USGS biweekly sampling,7/22/2022,7/22/2022,,,Mid,16,,,,,,432,3.45,,,,,,,,,1.14
22380,July,L July,USGS,Lake Huron,Boot Island 73,NMB,Offshore,CSMI -USGS biweekly sampling,7/22/2022,7/22/2022,,,Bottom,71,,,,,,449,2.07,,,,,,,,,0.39
22214A,Aug,Aug,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,8/14/2022,8/14/2022,17:00,75.9,Epi,5,Yes,Stratified,9.09,279,2.51,371,7.99,1,3.42,19.7,5.85,5.27,11.13,2.09,4.47,0.94
