STIS,TN,TP,chla
7610,361,0.61,2.345
7612,361,0.61,1.1315
7613,346,0.61,1.704
7614,337,0.61,2.244
7616,410,0.61,0.5621
7617,508,6.14,2.026
7618,350,0.61,1.412
7619,415,0.61,0.9938
7620,357,3.77,1.008
7621,392,0.61,1.04
7623,346,0.61,1.067
7625,397,0.61,0.4373
7626,335,7.82,1.19
7627,366,0.61,0.8532
7629,374,0.61,0.1698
7630,377,1.72,1.6196
7631,377,0.61,0.998333333
7632,358,0.61,0.9516
7633,359,0.61,1.46
7634,372,0.61,0.6835
7636,409,0.61,0.7031
7638,438,0.61,0.3291
7639,387,0.61,0.9494
7640,370,0.61,0.7571
7642,391,2.83,0.2783
7643,366,0.61,0.9234
7644,459,0.61,0.7954
7645,411,11.4,1.023
7646,389,3.33,0.5935
7647,382,0.61,0.7881
7649,402,0.61,0.5851
7651,436,0.61,0.2529
7652,385,0.61,1.335
7653,368,0.61,0.5052
7655,475,0.61,0.195
7656,375,0.61,2.041
7658,455,3.34,0.8583
7659,473,0.61,0.8343
7660,461,0.61,0.8233
7662,418,0.61,0.5571
7664,465,0.61,0.4257
7665,420,0.61,0.7415
7666,415,0.61,0.6732
7668,419,0.61,0.1282
7669,416,0.61,1.077
7670,457,7.28,0.765
7671,456,0.61,0.6939
7672,446,0.61,0.7414
7673,443,2.73,1.289
7675,375,0.61,0.8715
7677,412,0.61,0.3964
7678,424,9.67,1.229
7679,414,2.34,0.6924
7681,411,0.61,1.111
7682,419,0.61,1.0066
7683,375,1.98,0.8205
7684,416,1.69,1.006
7685,392,0.61,0.876
7686,416,3.56,0.8122
7688,408,0.61,0.906
7689,432,0.61,
7690,406,0.61,0.4066
7692,395,1.97,0.4554
7693,421,0.61,
7694,424,0.61,1.146
7696,389,0.61,1.0035
7697,376,0.61,1.174
7698,394,0.61,1.2117
7699,398,1.6,1.1604
7701,373,7.68,1.0631
7703,453,0.61,0.1755
7704,398,0.61,1.239
7705,380,0.61,1.762
7707,411,2.75,0.265
7708,371,2.82,1.617
22206A,365,6.84,0.56
22208A,390,7.24,0.63
22210A,386,7.17,0.84
22211A,398,8.41,0.85
22212A,442,8.85,0.51
22214A,371,7.99,0.94
22216A,411,7.75,0.29
22217A,406,7.96,1.96
22218A,374,8.45,1.32
22222A,383,6.67,1.09
22224A,405,8.01,0.74
22226A,364,5.46,1.24
22227A,389,7.75,0.52
22228A,383,9.45,0.74
22230A,376,10.9,1.08
22231A,383,10.6,1.24
22232A,395,9.26,0.5
22090A,329,6.76,2.44
22094A,331,5.6,2
22096A,330,6.5,
22098A,340,6.27,2.12
22099A,408,5.6,0.71
22100A,420,4.65,0.44
22102A,301,5.06,1.44
22106A,338,5.26,0.82
22108A,340,5.52,0.81
22110A,336,4.08,0.59
22112A,359,3.54,0.53
22113A,371,5.04,1.09
22114A,371,6.1,0.52
22116A,370,3.99,0.34
22117A,400,5.97,1
22126A,369,4.61,0.82
22128A,369,3.98,0.3
22129A,383,5.84,0.61
22138A,375,4.34,0.84
22139A,399,4.21,1.03
22140A,420,6.66,1.8
22142A,382,6.13,0.74
22144A,435,4.98,0.51
22145A,368,5,1.32
22146A,373,6.89,0.62
22148A,392,6.54,0.21
22149A,374,5.31,0.9
22234A,399,3.44,0.43
22174A,477,6.02,0.94
22190A,424,7.17,0.57
22191A,450,6.3,0.48
22192A,408,5.5,0.43
22194A,403,8.14,0.49
22195A,415,5.77,0.93
22196A,412,8.45,0.63
22198A,423,7.66,0.49
22200A,413,7.69,0.16
22201A,391,4.09,1.02
22178A,435,2.6,0.64
22179A,425,3.71,0.65
22180A,414,4.54,0.59
22182A,415,5.92,1.05
22183A,411,5.03,0.96
22184A,428,5.29,0.42
22186A,414,4.96,0.59
22188A,424,4.47,0.2
22189A,423,2.98,0.53
22158A,418,4.2,2.24
22162A,399,3.34,1.3
22163A,415,5.3,0.94
22164A,417,4.63,0.6
22166A,401,2.8,1.65
22167A,414,5.41,0.98
22168A,413,3.35,0.56
22170A,448,4.35,0.8
22171A,417,6.54,0.91
22172A,431,4.53,0.52
22150A,531,17.1,14.72
22152A,518,17.6,14.52
22154A,393,7.59,3.36
22155A,451,7.71,3.8
22156A,523,8.95,6
22252,400,4.94,0.61
22253,400,4.98,0.61
22254,376,5.39,0.72
22256,391,4.53,0.64
22257,380,4.04,0.62
22258,412,5.14,0.37
22260,419,7.17,0.53
22262,434,3.31,0.18
22263,424,3.78,1.25
22334,491,1.99,0.85
22335,567,5.18,0.78
22336,592,3.43,0.83
22338,628,3.99,0.68
22339,559,5.36,0.63
22340,471,4.86,0.81
22342,438,3.36,0.38
22343,458,1.92,0.7
22344,492,3.09,1.02
22264,360,4.06,1.06
22265,364,5.45,1.26
22266,389,5.28,1.06
22268,519,7.36,1.35
22269,405,3.92,1.17
22270,452,4.36,0.38
22272,407,3.54,1.07
22273,394,6.12,0.87
22274,414,4.79,0.53
22330,522,7.49,5.12
22331,506,6.35,4.64
22130,368,5.31,0.51
22131,364,5.15,0.71
22132,370,4.55,0.36
22118,387,6.65,0.44
22122,455,6.94,0.47
22123,397,6.26,0.56
22124,392,6.02,0.34
22126,370,5.27,0.39
22127,391,6.49,0.59
22128,354,5.61,0.38
22134,395,7.07,0.76
22138,455,4.93,0.75
22139,391,7.01,0.6
22140,366,5.05,0.75
22142,381,7,0.58
22143,402,6.31,0.65
22144,362,7.02,0.38
22146,418,7.68,0.47
22148,391,5.89,0.38
22149,383,5.01,1.14
22190,412,7.93,0.53
22191,417,7.8,0.53
22192,437,9.29,0.42
22174,567,7.32,0.79
22182,500,7.41,0.64
22183,417,6.84,0.5
22184,430,8.29,0.56
22186,430,7.93,0.71
22188,395,8.03,0.29
22189,467,12.9,0.83
22194,420,8.01,0.47
22195,426,6.41,0.82
22196,405,6.98,0.53
22198,433,6.49,0.44
22199,405,6.94,0.67
22200,425,5.36,0.35
22282,410,5.26,0.63
22283,399,6.22,0.74
22284,397,6.17,0.82
22286,421,4.21,1.15
22287,430,1.74,0.96
22288,452,4.3,0.26
22290,410,3.44,0.63
22291,464,3.4,0.53
22292,443,3.15,0.47
22294,409,5.74,1.46
22295,442,3.8,1.18
22296,424,5.84,0.75
22158,478,7.02,0.56
22162,471,7.23,0.88
22163,501,6.35,0.75
22164,460,6.86,0.69
