STIS,Date
7046,4/28/2017
7047,4/28/2017
7048,4/29/2017
7049,4/29/2017
7050,4/29/2017
7051,4/29/2017
7060,5/11/2017
7061,5/11/2017
7062,5/11/2017
7063,5/11/2017
7064,5/11/2017
7065,5/11/2017
7066,5/11/2017
7067,5/11/2017
7068,5/11/2017
7069,5/11/2017
7070,5/11/2017
7071,5/11/2017
7072,5/10/2017
7073,5/10/2017
7074,5/10/2017
7075,5/10/2017
7076,5/10/2017
7077,5/10/2017
7078,5/10/2017
7079,5/10/2017
7080,5/10/2017
7081,5/10/2017
7082,5/10/2017
7083,5/10/2017
7084,5/10/2017
7085,5/10/2017
7086,5/10/2017
7087,5/10/2017
7088,5/10/2017
7089,5/10/2017
7090,5/10/2017
7091,5/10/2017
7092,5/9/2017
7093,5/9/2017
7094,5/9/2017
7095,5/8/2017
7096,5/9/2017
7097,5/9/2017
7098,5/9/2017
7099,5/9/2017
7100,5/8/2017
7101,5/8/2017
7102,5/8/2017
7103,5/8/2017
7112,5/9/2017
7113,5/9/2017
7114,5/9/2017
7115,5/9/2017
7116,6/15/2017
7117,6/15/2017
7118,6/15/2017
7119,6/15/2017
7120,6/16/2017
7121,6/16/2017
7122,6/16/2017
7123,6/16/2017
7124,6/16/2017
7125,6/16/2017
7126,6/16/2017
7127,6/16/2017
7128,6/17/2017
7129,6/17/2017
7130,6/17/2017
7131,6/17/2017
7132,6/13/2017
7133,6/13/2017
7134,6/13/2017
7135,6/13/2017
7136,6/14/2017
7137,6/14/2017
7138,6/14/2017
7139,6/14/2017
7140,6/17/2017
7141,6/17/2017
7142,6/17/2017
7143,6/17/2017
7144,6/14/2017
7145,6/14/2017
7146,6/14/2017
7147,6/14/2017
7148,6/14/2017
7149,6/14/2017
7150,6/14/2017
7151,6/14/2017
7152,6/14/2017
7153,6/14/2017
7154,6/14/2017
7155,6/14/2017
7156,6/13/2017
7157,6/13/2017
7158,6/13/2017
7159,6/13/2017
7160,6/13/2017
7161,6/13/2017
7162,6/13/2017
7163,6/13/2017
7164,6/13/2017
7165,6/13/2017
7166,6/13/2017
7167,6/13/2017
7168,6/13/2017
7169,6/13/2017
7170,6/13/2017
7171,6/13/2017
7172,6/13/2017
7173,6/13/2017
7174,6/13/2017
7175,6/13/2017
7176,6/12/2017
7177,6/12/2017
7178,6/12/2017
7179,6/12/2017
7180,6/12/2017
7181,6/12/2017
7182,6/12/2017
7183,6/12/2017
7184,6/12/2017
7185,6/12/2017
7186,6/12/2017
7187,6/12/2017
7188,6/12/2017
7189,6/12/2017
7190,6/12/2017
7191,6/12/2017
7192,6/11/2017
7193,6/11/2017
7194,6/11/2017
7195,6/11/2017
7196,6/11/2017
7197,6/11/2017
7198,6/11/2017
7199,6/11/2017
7200,6/11/2017
7201,6/11/2017
7202,6/11/2017
7203,6/11/2017
7204,6/11/2017
7205,6/11/2017
7206,6/11/2017
7207,6/11/2017
7208,6/11/2017
7209,6/11/2017
7210,6/11/2017
7211,6/11/2017
7212,6/10/2017
7213,6/10/2017
7214,6/10/2017
7215,6/10/2017
7290,7/7/2017
7291,7/7/2017
7292,7/7/2017
7293,7/7/2017
7294,7/6/2017
7295,7/6/2017
7296,7/6/2017
7297,7/6/2017
7298,7/8/2017
7299,7/8/2017
7300,7/8/2017
7301,7/8/2017
7302,7/7/2017
7303,7/7/2017
7304,7/7/2017
7305,7/7/2017
7306,7/10/2017
7307,7/10/2017
7308,7/10/2017
7309,7/10/2017
7310,7/9/2017
7311,7/9/2017
7312,7/9/2017
7313,7/9/2017
7314,7/10/2017
7315,7/10/2017
7316,7/10/2017
7317,7/10/2017
7318,7/13/2017
7319,7/13/2017
7320,7/13/2017
7321,7/13/2017
7322,7/12/2017
7323,7/12/2017
7324,7/12/2017
7325,7/12/2017
7326,7/11/2017
7327,7/11/2017
7328,7/11/2017
7329,7/11/2017
7330,7/16/2017
7331,7/16/2017
7332,7/16/2017
7333,7/16/2017
7334,7/15/2017
7335,7/15/2017
7336,7/15/2017
7337,7/15/2017
7338,7/14/2017
7339,7/14/2017
7340,7/14/2017
7341,7/14/2017
7342,7/18/2017
7343,7/18/2017
7344,7/18/2017
7345,7/18/2017
7346,7/17/2017
7347,7/17/2017
7348,7/17/2017
7349,7/17/2017
7350,7/18/2017
7351,7/18/2017
7352,7/18/2017
7353,7/18/2017
7354,7/21/2017
7355,7/21/2017
7356,7/21/2017
7357,7/21/2017
7358,7/20/2017
7359,7/20/2017
7360,7/20/2017
7361,7/20/2017
7362,7/19/2017
7363,7/19/2017
7364,7/19/2017
7365,7/19/2017
7366,7/23/2017
7367,7/23/2017
7368,7/23/2017
7369,7/23/2017
7370,7/22/2017
7371,7/22/2017
7372,7/22/2017
7373,7/22/2017
7374,7/21/2017
7375,7/21/2017
7376,7/21/2017
7377,7/21/2017
7378,7/26/2017
7379,7/26/2017
7380,7/26/2017
7381,7/26/2017
7382,7/25/2017
7383,7/25/2017
7384,7/25/2017
7385,7/25/2017
7386,7/24/2017
7387,7/24/2017
7388,7/24/2017
7389,7/24/2017
7600,8/9/2017
7601,8/8/2017
7602,8/21/2017
7603,8/8/2017
7604,8/8/2017
7605,8/8/2017
7606,8/8/2017
7607,8/8/2017
7608,8/8/2017
7609,8/10/2017
7610,8/10/2017
7611,8/10/2017
7612,8/10/2017
7613,8/10/2017
7614,8/9/2017
7615,8/9/2017
7616,8/9/2017
7617,8/9/2017
7618,8/11/2017
7619,8/11/2017
7620,8/11/2017
7621,8/11/2017
7622,8/11/2017
7623,8/11/2017
7624,8/12/2017
7625,8/11/2017
7626,8/11/2017
7627,8/11/2017
7628,8/11/2017
7629,8/11/2017
7630,8/11/2017
7631,8/14/2017
7632,8/13/2017
7633,8/13/2017
7634,8/13/2017
7635,8/13/2017
7636,8/13/2017
7637,8/13/2017
7638,8/13/2017
7639,8/13/2017
7640,8/13/2017
7641,8/13/2017
7642,8/13/2017
7643,8/13/2017
7644,8/15/2017
7645,8/15/2017
7646,8/15/2017
7647,8/15/2017
7648,8/15/2017
7649,8/14/2017
7650,8/14/2017
7651,8/14/2017
7652,8/14/2017
7653,8/14/2017
7654,8/14/2017
7655,8/14/2017
7656,8/14/2017
7657,8/14/2017
7658,8/24/2017
7659,8/24/2017
7660,8/24/2017
7661,8/24/2017
7662,8/24/2017
7663,8/24/2017
7664,8/24/2017
7665,8/24/2017
7666,8/24/2017
7667,8/24/2017
7668,8/24/2017
7669,8/24/2017
7670,8/21/2017
7671,8/20/2017
7672,8/20/2017
7673,8/20/2017
7674,8/21/2017
7675,8/21/2017
7676,8/21/2017
7677,8/21/2017
7678,8/21/2017
7679,8/21/2017
7680,8/21/2017
7681,8/21/2017
7682,8/21/2017
7683,8/20/2017
7684,8/19/2017
7685,8/19/2017
7686,8/19/2017
7687,8/20/2017
7688,8/19/2017
7689,8/19/2017
7690,8/19/2017
7691,8/19/2017
7692,8/20/2017
7693,8/20/2017
7694,8/20/2017
7695,8/20/2017
7696,8/26/2017
7697,8/26/2017
7698,8/26/2017
7699,8/26/2017
7700,8/26/2017
7701,8/26/2017
7702,8/26/2017
7703,8/26/2017
7704,8/26/2017
7705,8/25/2017
7706,8/25/2017
7707,8/25/2017
7708,8/25/2017
7740,9/10/2017
7741,9/13/2017
7742,9/13/2017
7743,9/14/2017
7744,9/14/2017
7745,9/11/2017
7746,9/13/2017
7747,9/13/2017
7748,9/13/2017
7749,9/10/2017
7750,9/11/2017
7751,9/12/2017
7752,9/12/2017
7753,9/13/2017
7754,9/11/2017
7755,9/13/2017
7756,9/12/2017
7757,9/12/2017
7758,9/13/2017
7759,9/14/2017
7760,9/13/2017
7761,9/11/2017
7762,9/14/2017
7763,9/13/2017
7764,9/14/2017
7765,9/11/2017
7766,9/11/2017
7767,9/11/2017
7768,9/13/2017
7769,9/14/2017
7770,9/13/2017
7771,9/14/2017
7772,9/15/2017
7773,9/11/2017
7774,9/12/2017
7775,9/15/2017
7776,9/14/2017
7777,9/12/2017
7778,9/14/2017
7779,9/11/2017
7780,9/14/2017
7781,9/15/2017
7782,9/14/2017
7783,9/15/2017
7784,9/14/2017
7785,9/11/2017
7786,9/12/2017
7787,9/12/2017
7788,9/12/2017
7789,9/12/2017
7790,9/12/2017
7791,9/11/2017
7792,9/11/2017
7793,9/11/2017
7794,9/11/2017
7795,9/13/2017
7796,9/13/2017
7797,9/12/2017
7798,9/14/2017
7799,9/12/2017
7800,9/11/2017
7801,9/14/2017
7802,9/14/2017
7803,9/14/2017
7804,9/13/2017
7805,9/13/2017
7806,9/14/2017
7807,9/14/2017
7808,9/14/2017
7809,9/14/2017
7810,9/11/2017
7811,9/13/2017
7812,9/13/2017
7813,9/11/2017
7814,9/11/2017
7815,9/11/2017
7816,9/11/2017
7817,9/11/2017
7818,9/12/2017
7819,9/12/2017
7820,9/14/2017
7821,9/14/2017
7822,9/14/2017
7823,9/11/2017
7824,9/13/2017
7825,9/12/2017
7826,9/14/2017
7827,9/10/2017
7828,9/10/2017
7829,9/14/2017
7830,9/14/2017
7831,9/14/2017
7832,9/13/2017
7833,9/14/2017
7834,9/10/2017
7835,9/14/2017
7836,9/13/2017
7837,9/13/2017
7838,9/13/2017
7839,9/12/2017
