STIS,StationCode,DFS,Month,Area,Year
7199,Mait46,Midshore,June,SMB,2017
7200,Mait73,Offshore,June,SMB,2017
7202,Mait73,Offshore,June,SMB,2017
7203,Mait73,Offshore,June,SMB,2017
7204,Harb18,Midshore,June,SMB,2017
7205,Harb18,Midshore,June,SMB,2017
7206,Harb18,Midshore,June,SMB,2017
7207,Harb18,Midshore,June,SMB,2017
7208,Harb46,Midshore,June,SMB,2017
7210,Harb46,Midshore,June,SMB,2017
7211,Harb46,Midshore,June,SMB,2017
7212,Harb68,Offshore,June,SMB,2017
7214,Harb68,Offshore,June,SMB,2017
7215,Harb68,Offshore,June,SMB,2017
7290,Thes18,Midshore,July,NC,2017
7291,Thes18,Midshore,July,NC,2017
7292,Thes18,Midshore,July,NC,2017
7294,Thes46,Midshore,July,NC,2017
7295,Thes46,Midshore,July,NC,2017
7296,Thes46,Midshore,July,NC,2017
7298,Span18,Midshore,July,NC,2017
7299,Span18,Midshore,July,NC,2017
7300,Span18,Midshore,July,NC,2017
7302,Span46,Midshore,July,NC,2017
7303,Span46,Midshore,July,NC,2017
7304,Span46,Midshore,July,NC,2017
7306,Fren18,Midshore,July,GB,2017
7307,Fren18,Midshore,July,GB,2017
7308,Fren18,Midshore,July,GB,2017
7310,Fren46,Midshore,July,GB,2017
7311,Fren46,Midshore,July,GB,2017
7312,Fren46,Midshore,July,GB,2017
7314,Fren82,Offshore,July,GB,2017
7315,Fren82,Offshore,July,GB,2017
7316,Fren82,Offshore,July,GB,2017
7318,Parr18,Midshore,July,GB,2017
7319,Parr18,Midshore,July,GB,2017
7320,Parr18,Midshore,July,GB,2017
7322,Parr46,Midshore,July,GB,2017
7324,Parr46,Midshore,July,GB,2017
7325,Parr46,Midshore,July,GB,2017
7326,Parr82,Offshore,July,GB,2017
7328,Parr82,Offshore,July,GB,2017
7329,Parr82,Offshore,July,GB,2017
7330,Nott18,Midshore,July,GB,2017
7331,Nott18,Midshore,July,GB,2017
7332,Nott18,Midshore,July,GB,2017
7334,Nott46,Midshore,July,GB,2017
7336,Nott46,Midshore,July,GB,2017
7337,Nott46,Midshore,July,GB,2017
7338,Nott82,Offshore,July,GB,2017
7340,Nott82,Offshore,July,GB,2017
7341,Nott82,Offshore,July,GB,2017
7342,Saug18,Midshore,July,NMB,2017
7343,Saug18,Midshore,July,NMB,2017
7344,Saug18,Midshore,July,NMB,2017
7346,Saug46,Midshore,July,NMB,2017
7348,Saug46,Midshore,July,NMB,2017
7349,Saug46,Midshore,July,NMB,2017
7350,Saug82,Offshore,July,NMB,2017
7352,Saug82,Offshore,July,NMB,2017
7353,Saug82,Offshore,July,NMB,2017
7354,Mait18,Midshore,July,SMB,2017
7355,Mait18,Midshore,July,SMB,2017
7356,Mait18,Midshore,July,SMB,2017
7358,Mait46,Midshore,July,SMB,2017
7359,Mait46,Midshore,July,SMB,2017
7360,Mait46,Midshore,July,SMB,2017
7362,Mait73,Offshore,July,SMB,2017
7363,Mait73,Offshore,July,SMB,2017
7364,Mait73,Offshore,July,SMB,2017
7366,Harb18,Midshore,July,SMB,2017
7368,Harb18,Midshore,July,SMB,2017
7369,Harb18,Midshore,July,SMB,2017
7370,Harb46,Midshore,July,SMB,2017
7371,Harb46,Midshore,July,SMB,2017
7372,Harb46,Midshore,July,SMB,2017
7374,Harb68,Offshore,July,SMB,2017
7375,Harb68,Offshore,July,SMB,2017
7376,Harb68,Offshore,July,SMB,2017
7377,Harb68,Offshore,July,SMB,2017
7378,Ocqu18,Midshore,July,NMB,2017
7379,Ocqu18,Midshore,July,NMB,2017
7380,Ocqu18,Midshore,July,NMB,2017
7382,Ocqu46,Midshore,July,NMB,2017
7384,Ocqu46,Midshore,July,NMB,2017
7385,Ocqu46,Midshore,July,NMB,2017
7386,Ocqu82,Offshore,July,NMB,2017
